19:28:43.985 > ok---------------------------------------:1
19:28:47.992 > positionC: 0
19:28:47.997 > positionC: 1
19:28:48.002 > positionC: 2
19:28:48.007 > positionC: 3
19:28:48.013 > positionC: 4
19:28:48.018 > positionC: 5
19:28:48.023 > positionC: 6
19:28:48.028 > positionC: 7
19:28:48.034 > positionC: 8
19:28:48.039 > positionC: 9
19:28:48.044 > positionC: 10
19:28:48.049 > positionC: 11
19:28:48.055 > positionC: 12
19:28:48.060 > positionC: 13
19:28:48.066 > positionC: 14
19:28:48.071 > positionC: 15
19:28:48.076 > positionC: 16
19:28:48.084 > positionC: 17
19:28:48.087 > positionC: 18
19:28:48.092 > positionC: 19
19:28:48.097 > positionC: 20
19:28:48.102 > positionC: 21
19:28:48.108 > positionC: 22
19:28:48.113 > positionC: 23
19:28:48.118 > positionC: 24
19:28:48.124 > positionC: 25
19:28:48.129 > positionC: 26
19:28:48.134 > positionC: 27
19:28:48.139 > positionC: 28
19:28:48.145 > positionC: 29
19:28:48.150 > positionC: 30
19:28:48.155 > positionC: 31
19:28:48.160 > positionC: 32
19:28:48.166 > positionC: 33
19:28:48.171 > positionC: 34
19:28:48.176 > positionC: 35
19:28:48.181 > positionC: 36
19:28:48.187 > positionC: 37
19:28:48.192 > positionC: 38
19:28:48.198 > positionC: 39
19:28:48.203 > positionC: 40
19:28:48.208 > positionC: 41
19:28:48.213 > positionC: 42
19:28:48.219 > positionC: 43
19:28:48.224 > positionC: 44
19:28:48.229 > positionC: 45
19:28:48.235 > positionC: 46
19:28:48.240 > positionC: 47
19:28:48.245 > positionC: 48
19:28:48.251 > positionC: 49
19:28:48.256 > positionC: 50
19:28:48.261 > positionC: 51
19:28:48.266 > positionC: 52
19:28:48.272 > positionC: 53
19:28:48.277 > positionC: 54
19:28:48.282 > positionC: 55
19:28:48.287 > positionC: 56
19:28:48.293 > positionC: 57
19:28:48.298 > positionC: 58
19:28:48.303 > positionC: 59
19:28:48.309 > positionC: 60
19:28:48.314 > positionC: 61
19:28:48.319 > positionC: 62
19:28:48.324 > positionC: 63
19:28:48.330 > positionC: 64
19:28:48.335 > positionC: 65
19:28:48.340 > positionC: 66
19:28:48.345 > positionC: 67
19:28:48.353 > positionC: 68
19:28:48.356 > positionC: 69
19:28:48.361 > positionC: 70
19:28:48.366 > positionC: 71
19:28:48.372 > positionC: 72
19:28:48.377 > positionC: 73
19:28:48.383 > positionC: 74
19:28:48.388 > positionC: 75
19:28:48.393 > positionC: 76
19:28:48.398 > positionC: 77
19:28:48.404 > positionC: 78
19:28:48.409 > positionC: 79
19:28:48.414 > positionC: 80
19:28:48.420 > positionC: 81
19:28:48.425 > positionC: 82
19:28:48.430 > positionC: 83
19:28:48.436 > positionC: 84
19:28:48.441 > positionC: 85
19:28:48.446 > positionC: 86
19:28:48.451 > positionC: 87
19:28:48.457 > positionC: 88
19:28:48.462 > positionC: 89
19:28:48.467 > positionC: 90
19:28:48.472 > positionC: 91
19:28:48.478 > positionC: 92
19:28:48.483 > positionC: 93
19:28:48.489 > positionC: 94
19:28:48.494 > positionC: 95
19:28:48.499 > positionC: 96
19:28:48.504 > positionC: 97
19:28:48.510 > positionC: 98
19:28:48.515 > positionC: 99
19:28:48.520 > positionC: 100
19:28:48.525 > positionC: 101
19:28:48.531 > positionC: 102
19:28:48.536 > positionC: 103
19:28:48.541 > positionC: 104
19:28:48.547 > positionC: 105
19:28:48.552 > positionC: 106
19:28:48.557 > positionC: 107
19:28:48.562 > positionC: 108
19:28:48.568 > positionC: 109
19:28:48.573 > positionC: 110
19:28:48.579 > positionC: 111
19:28:48.584 > positionC: 112
19:28:48.589 > positionC: 113
19:28:48.595 > positionC: 114
19:28:48.600 > positionC: 115
19:28:48.605 > positionC: 116
19:28:48.610 > positionC: 117
19:28:48.616 > positionC: 118
19:28:48.621 > positionC: 119
19:28:48.626 > positionC: 120
19:29:03.764 > ok---------------------------------------:1
19:29:07.771 > positionC: 0
19:29:07.776 > positionC: 1
19:29:07.781 > positionC: 2
19:29:07.787 > positionC: 3
19:29:07.792 > positionC: 4
19:29:07.797 > positionC: 5
19:29:07.803 > positionC: 6
19:29:07.808 > positionC: 7
19:29:07.814 > positionC: 8
19:29:07.818 > positionC: 9
19:29:07.824 > positionC: 10
19:29:07.829 > positionC: 11
19:29:07.834 > positionC: 12
19:29:07.840 > positionC: 13
19:29:07.845 > positionC: 14
19:29:07.850 > positionC: 15
19:29:07.856 > positionC: 16
19:29:07.861 > positionC: 17
19:29:07.866 > positionC: 18
19:29:07.871 > positionC: 19
19:29:07.876 > positionC: 20
19:29:07.882 > positionC: 21
19:29:07.887 > positionC: 22
19:29:07.893 > positionC: 23
19:29:07.898 > positionC: 24
19:29:07.903 > positionC: 25
19:29:07.908 > positionC: 26
19:29:07.914 > positionC: 27
19:29:07.919 > positionC: 28
19:29:07.924 > positionC: 29
19:29:07.929 > positionC: 30
19:29:07.935 > positionC: 31
19:29:07.940 > positionC: 32
19:29:07.945 > positionC: 33
19:29:07.951 > positionC: 34
19:29:07.956 > positionC: 35
19:29:07.961 > positionC: 36
19:29:07.967 > positionC: 37
19:29:07.973 > positionC: 38
19:29:07.977 > positionC: 39
19:29:07.983 > positionC: 40
19:29:07.988 > positionC: 41
19:29:07.993 > positionC: 42
19:29:07.998 > positionC: 43
19:29:08.004 > positionC: 44
19:29:08.009 > positionC: 45
19:29:08.014 > positionC: 46
19:29:08.020 > positionC: 47
19:29:08.025 > positionC: 48
19:29:08.030 > positionC: 49
19:29:08.035 > positionC: 50
19:29:08.041 > positionC: 51
19:29:08.046 > positionC: 52
19:29:08.051 > positionC: 53
19:29:08.056 > positionC: 54
19:29:08.062 > positionC: 55
19:29:08.067 > positionC: 56
19:29:08.072 > positionC: 57
19:29:08.078 > positionC: 58
19:29:08.083 > positionC: 59
19:29:08.088 > positionC: 60
19:29:08.093 > positionC: 61
19:29:08.099 > positionC: 62
19:29:08.104 > positionC: 63
19:29:08.109 > positionC: 64
19:29:08.114 > positionC: 65
19:29:08.120 > positionC: 66
19:29:08.125 > positionC: 67
19:29:08.130 > positionC: 68
19:29:08.136 > positionC: 69
