18:40:15.723 > 16 channel Servo test!
18:40:16.248 > Angle: 0 pulse: 125
18:40:16.749 > Angle: 20 pulse: 175
18:40:17.250 > Angle: 40 pulse: 225
18:40:17.751 > Angle: 60 pulse: 275
18:40:18.252 > Angle: 80 pulse: 325
18:40:18.753 > Angle: 100 pulse: 375
18:40:19.255 > Angle: 120 pulse: 425
18:40:19.756 > Angle: 140 pulse: 475
18:40:20.257 > Angle: 160 pulse: 525
18:40:20.758 > Angle: 180 pulse: 575
18:40:22.259 > Angle: 0 pulse: 125
18:40:22.761 > Angle: 20 pulse: 175
18:40:23.261 > Angle: 40 pulse: 225
18:40:23.763 > Angle: 60 pulse: 275
18:40:24.264 > Angle: 80 pulse: 325
18:40:24.765 > Angle: 100 pulse: 375
18:40:25.266 > Angle: 120 pulse: 425
18:40:25.768 > Angle: 140 pulse: 475
18:40:26.269 > Angle: 160 pulse: 525
18:40:26.770 > Angle: 180 pulse: 575
18:40:28.271 > Angle: 0 pulse: 125
18:40:28.772 > Angle: 20 pulse: 175
18:40:29.273 > Angle: 40 pulse: 225
18:40:29.774 > Angle: 60 pulse: 275
18:40:30.275 > Angle: 80 pulse: 325
18:40:30.777 > Angle: 100 pulse: 375
18:40:31.278 > Angle: 120 pulse: 425
18:40:31.779 > Angle: 140 pulse: 475
18:40:32.280 > Angle: 160 pulse: 525
18:40:32.781 > Angle: 180 pulse: 575
18:40:34.282 > Angle: 0 pulse: 125
18:40:34.784 > Angle: 20 pulse: 175
18:40:35.285 > Angle: 40 pulse: 225
18:40:35.786 > Angle: 60 pulse: 275
18:40:36.287 > Angle: 80 pulse: 325
18:40:36.788 > Angle: 100 pulse: 375
18:40:37.289 > Angle: 120 pulse: 425
18:40:37.791 > Angle: 140 pulse: 475
18:40:38.292 > Angle: 160 pulse: 525
18:40:38.793 > Angle: 180 pulse: 575
18:40:40.294 > Angle: 0 pulse: 125
18:40:40.795 > Angle: 20 pulse: 175
18:40:41.296 > Angle: 40 pulse: 225
18:40:41.797 > Angle: 60 pulse: 275
18:40:42.298 > Angle: 80 pulse: 325
18:40:42.800 > Angle: 100 pulse: 375
18:40:43.301 > Angle: 120 pulse: 425
18:40:43.802 > Angle: 140 pulse: 475
18:40:44.303 > Angle: 160 pulse: 525
18:40:44.805 > Angle: 180 pulse: 575
18:40:46.305 > Angle: 0 pulse: 125
18:40:46.807 > Angle: 20 pulse: 175
18:40:47.308 > Angle: 40 pulse: 225
18:40:47.809 > Angle: 60 pulse: 275
18:40:48.310 > Angle: 80 pulse: 325
18:40:48.811 > Angle: 100 pulse: 375
18:40:49.313 > Angle: 120 pulse: 425
18:40:49.814 > Angle: 140 pulse: 475
18:40:50.315 > Angle: 160 pulse: 525
18:40:50.816 > Angle: 180 pulse: 575
18:40:52.317 > Angle: 0 pulse: 125
18:40:52.818 > Angle: 20 pulse: 175
18:40:53.319 > Angle: 40 pulse: 225
18:40:53.820 > Angle: 60 pulse: 275
18:40:54.321 > Angle: 80 pulse: 325
18:40:54.823 > Angle: 100 pulse: 375
18:40:55.324 > Angle: 120 pulse: 425
18:40:55.825 > Angle: 140 pulse: 475
18:40:56.326 > Angle: 160 pulse: 525
18:40:56.828 > Angle: 180 pulse: 575
18:40:58.329 > Angle: 0 pulse: 125
18:40:58.830 > Angle: 20 pulse: 175
18:40:59.331 > Angle: 40 pulse: 225
18:40:59.832 > Angle: 60 pulse: 275
18:41:00.333 > Angle: 80 pulse: 325
18:41:00.834 > Angle: 100 pulse: 375
18:41:01.336 > Angle: 120 pulse: 425
18:41:01.837 > Angle: 140 pulse: 475
18:41:02.338 > Angle: 160 pulse: 525
18:41:02.839 > Angle: 180 pulse: 575
18:41:04.340 > Angle: 0 pulse: 125
18:41:04.841 > Angle: 20 pulse: 175
18:41:05.342 > Angle: 40 pulse: 225
18:41:05.843 > Angle: 60 pulse: 275
18:41:06.345 > Angle: 80 pulse: 325
18:41:06.846 > Angle: 100 pulse: 375
18:41:07.347 > Angle: 120 pulse: 425
18:41:07.848 > Angle: 140 pulse: 475
18:41:08.349 > Angle: 160 pulse: 525
18:41:08.851 > Angle: 180 pulse: 575
18:41:10.352 > Angle: 0 pulse: 125
18:41:10.853 > Angle: 20 pulse: 175
18:41:11.354 > Angle: 40 pulse: 225
18:41:11.855 > Angle: 60 pulse: 275
18:41:12.356 > Angle: 80 pulse: 325
18:41:12.858 > Angle: 100 pulse: 375
18:41:13.359 > Angle: 120 pulse: 425
18:41:13.860 > Angle: 140 pulse: 475
