18:23:19.470 > ok---------------------------------------:1
18:23:21.476 > positionC: 0
18:23:21.482 > positionC: 1
18:23:21.487 > positionC: 2
18:23:21.493 > positionC: 3
18:23:21.498 > positionC: 4
18:23:21.503 > positionC: 5
18:23:21.508 > positionC: 6
18:23:21.513 > positionC: 7
18:23:21.519 > positionC: 8
18:23:21.524 > positionC: 9
18:23:21.529 > positionC: 10
18:23:21.534 > positionC: 11
18:23:21.540 > positionC: 12
18:23:21.545 > positionC: 13
18:23:21.551 > positionC: 14
18:23:21.556 > positionC: 15
18:23:21.561 > positionC: 16
18:23:21.566 > positionC: 17
18:23:21.572 > positionC: 18
18:23:21.577 > positionC: 19
18:23:21.582 > positionC: 20
18:23:21.588 > positionC: 21
18:23:21.593 > positionC: 22
18:23:21.598 > positionC: 23
18:23:21.604 > positionC: 24
18:23:21.609 > positionC: 25
18:23:21.614 > positionC: 26
18:23:21.619 > positionC: 27
18:23:21.625 > positionC: 28
18:23:21.630 > positionC: 29
18:23:21.635 > positionC: 30
18:23:21.640 > positionC: 31
18:23:21.646 > positionC: 32
18:23:21.651 > positionC: 33
18:23:21.657 > positionC: 34
18:23:21.662 > positionC: 35
18:23:21.667 > positionC: 36
18:23:21.672 > positionC: 37
18:23:21.678 > positionC: 38
18:23:21.683 > positionC: 39
18:23:21.688 > positionC: 40
18:23:21.693 > positionC: 41
18:23:21.699 > positionC: 42
18:23:21.704 > positionC: 43
18:23:21.709 > positionC: 44
18:23:21.714 > positionC: 45
18:23:21.720 > positionC: 46
18:23:21.725 > positionC: 47
18:23:21.730 > positionC: 48
18:23:21.736 > positionC: 49
18:23:21.741 > positionC: 50
18:23:29.466 > ok---------------------------------------:1
18:23:31.473 > positionC: 0
18:23:31.478 > positionC: 1
18:23:31.483 > positionC: 2
18:23:31.488 > positionC: 3
18:23:31.493 > positionC: 4
18:23:31.499 > positionC: 5
18:23:31.504 > positionC: 6
18:23:31.509 > positionC: 7
18:23:31.514 > positionC: 8
18:23:31.520 > positionC: 9
18:23:31.525 > positionC: 10
18:23:31.530 > positionC: 11
18:23:31.537 > positionC: 12
18:23:31.541 > positionC: 13
18:23:31.546 > positionC: 14
18:23:31.553 > positionC: 15
18:23:31.557 > positionC: 16
18:23:31.562 > positionC: 17
18:23:31.567 > positionC: 18
18:23:31.573 > positionC: 19
18:23:31.578 > positionC: 20
18:23:31.583 > positionC: 21
18:23:31.589 > positionC: 22
18:23:31.594 > positionC: 23
18:23:31.599 > positionC: 24
18:23:31.605 > positionC: 25
18:23:31.610 > positionC: 26
18:23:31.615 > positionC: 27
18:23:31.620 > positionC: 28
18:23:31.626 > positionC: 29
18:23:31.631 > positionC: 30
18:23:31.636 > positionC: 31
18:23:31.641 > positionC: 32
18:23:31.647 > positionC: 33
18:23:31.652 > positionC: 34
18:23:31.658 > positionC: 35
18:23:31.663 > positionC: 36
18:23:31.668 > positionC: 37
18:23:31.673 > positionC: 38
18:23:31.678 > positionC: 39
18:23:31.684 > positionC: 40
18:23:31.689 > positionC: 41
18:23:31.694 > positionC: 42
18:23:31.699 > positionC: 43
18:23:31.705 > positionC: 44
18:23:31.710 > positionC: 45
18:23:31.716 > positionC: 46
18:23:31.721 > positionC: 47
18:23:31.726 > positionC: 48
18:23:31.731 > positionC: 49
18:23:31.737 > positionC: 50
18:23:40.662 > ok---------------------------------------:1
18:23:42.661 > positionC: 0
18:23:42.666 > positionC: 1
18:23:42.672 > positionC: 2
18:23:42.677 > positionC: 3
18:23:42.682 > positionC: 4
18:23:42.688 > positionC: 5
18:23:42.693 > positionC: 6
18:23:42.698 > positionC: 7
18:23:42.703 > positionC: 8
18:23:42.709 > positionC: 9
18:23:42.714 > positionC: 10
18:23:42.719 > positionC: 11
18:23:42.724 > positionC: 12
18:23:42.730 > positionC: 13
18:23:42.735 > positionC: 14
18:23:42.740 > positionC: 15
18:23:42.745 > positionC: 16
18:23:42.751 > positionC: 17
18:23:42.756 > positionC: 18
18:23:42.762 > positionC: 19
18:23:42.767 > positionC: 20
18:23:42.772 > positionC: 21
18:23:42.777 > positionC: 22
18:23:42.783 > positionC: 23
18:23:42.788 > positionC: 24
18:23:42.793 > positionC: 25
18:23:42.798 > positionC: 26
18:23:42.804 > positionC: 27
18:23:42.809 > positionC: 28
18:23:42.814 > positionC: 29
18:23:42.820 > positionC: 30
18:23:42.825 > positionC: 31
18:23:42.830 > positionC: 32
18:23:42.836 > positionC: 33
18:23:42.841 > positionC: 34
18:23:42.846 > positionC: 35
18:23:42.851 > positionC: 36
18:23:42.857 > positionC: 37
18:23:42.862 > positionC: 38
18:23:42.867 > positionC: 39
18:23:42.873 > positionC: 40
18:23:42.878 > positionC: 41
18:23:42.883 > positionC: 42
18:23:42.889 > positionC: 43
18:23:42.894 > positionC: 44
18:23:42.899 > positionC: 45
18:23:42.904 > positionC: 46
18:23:42.910 > positionC: 47
18:23:42.915 > positionC: 48
18:23:42.920 > positionC: 49
18:23:42.925 > positionC: 50
