18:03:50.739 > ok---------------------------------------:1
18:03:52.746 > positionC: 0
18:03:52.751 > positionC: 1
18:03:52.756 > positionC: 2
18:03:52.761 > positionC: 3
18:03:52.766 > positionC: 4
18:03:52.772 > positionC: 5
18:03:52.777 > positionC: 6
18:03:52.783 > positionC: 7
18:03:52.788 > positionC: 8
18:03:52.793 > positionC: 9
18:03:52.798 > positionC: 10
18:03:52.804 > positionC: 11
18:03:52.809 > positionC: 12
18:03:52.814 > positionC: 13
18:03:52.819 > positionC: 14
18:03:52.825 > positionC: 15
18:03:52.830 > positionC: 16
18:03:52.835 > positionC: 17
18:03:52.841 > positionC: 18
18:03:52.846 > positionC: 19
18:03:52.851 > positionC: 20
18:03:52.857 > positionC: 21
18:03:52.862 > positionC: 22
18:03:52.867 > positionC: 23
18:03:52.872 > positionC: 24
18:03:52.878 > positionC: 25
18:03:52.883 > positionC: 26
18:03:52.888 > positionC: 27
18:03:52.893 > positionC: 28
18:03:52.899 > positionC: 29
18:03:52.904 > positionC: 30
18:03:52.910 > positionC: 31
18:03:52.915 > positionC: 32
18:03:52.920 > positionC: 33
18:03:52.925 > positionC: 34
18:03:52.931 > positionC: 35
18:03:52.936 > positionC: 36
18:03:52.941 > positionC: 37
18:03:52.946 > positionC: 38
18:03:52.952 > positionC: 39
18:03:52.957 > positionC: 40
18:03:52.962 > positionC: 41
18:03:52.968 > positionC: 42
18:03:52.973 > positionC: 43
18:03:52.978 > positionC: 44
18:03:52.983 > positionC: 45
18:03:52.989 > positionC: 46
18:03:52.994 > positionC: 47
18:03:52.999 > positionC: 48
18:03:53.004 > positionC: 49
18:03:53.010 > positionC: 50
18:03:53.015 > positionC: 51
18:03:53.020 > positionC: 52
18:03:53.025 > positionC: 53
18:03:53.031 > positionC: 54
18:03:53.036 > positionC: 55
18:03:53.042 > positionC: 56
18:03:53.047 > positionC: 57
18:03:53.052 > positionC: 58
18:03:53.057 > positionC: 59
18:03:53.063 > positionC: 60
18:03:53.068 > positionC: 61
18:03:53.073 > positionC: 62
18:03:53.078 > positionC: 63
18:03:53.084 > positionC: 64
18:03:53.089 > positionC: 65
18:03:53.095 > positionC: 66
18:03:53.100 > positionC: 67
18:03:53.105 > positionC: 68
18:03:53.110 > positionC: 69
18:03:53.116 > positionC: 70
18:03:53.121 > positionC: 71
18:03:53.126 > positionC: 72
18:03:53.132 > positionC: 73
18:03:53.137 > positionC: 74
18:03:53.142 > positionC: 75
18:03:53.148 > positionC: 76
18:03:53.152 > positionC: 77
18:03:53.158 > positionC: 78
18:03:53.163 > positionC: 79
18:03:53.169 > positionC: 80
18:03:53.174 > positionC: 81
18:03:53.179 > positionC: 82
18:03:53.184 > positionC: 83
18:03:53.190 > positionC: 84
18:03:53.195 > positionC: 85
18:03:53.200 > positionC: 86
18:03:53.205 > positionC: 87
18:03:53.211 > positionC: 88
18:03:53.216 > positionC: 89
18:03:53.221 > positionC: 90
18:03:53.227 > positionC: 91
18:03:53.232 > positionC: 92
18:03:53.237 > positionC: 93
18:03:53.242 > positionC: 94
18:03:53.248 > positionC: 95
18:03:53.253 > positionC: 96
18:03:53.258 > positionC: 97
18:03:53.263 > positionC: 98
18:03:53.269 > positionC: 99
18:03:53.274 > positionC: 100
18:03:53.280 > positionC: 101
18:03:53.285 > positionC: 102
18:03:53.290 > positionC: 103
18:03:53.296 > positionC: 104
18:03:53.301 > positionC: 105
18:03:53.306 > positionC: 106
18:03:53.312 > positionC: 107
18:03:53.317 > positionC: 108
18:03:53.322 > positionC: 109
18:03:53.327 > positionC: 110
18:03:53.333 > positionC: 111
18:03:53.338 > positionC: 112
18:03:53.343 > positionC: 113
18:03:53.349 > positionC: 114
18:03:53.354 > positionC: 115
18:03:53.359 > positionC: 116
18:03:53.365 > positionC: 117
18:03:53.370 > positionC: 118
18:03:53.375 > positionC: 119
18:03:53.381 > positionC: 120
18:03:55.380 > ---------------------------------------:1
18:03:55.386 > positionC: 120
18:03:55.391 > positionC: 121
18:03:55.397 > positionC: 122
18:03:55.402 > positionC: 123
18:03:55.407 > positionC: 124
18:03:55.413 > positionC: 125
18:03:55.418 > positionC: 126
18:03:55.424 > positionC: 127
18:03:55.429 > positionC: 128
18:03:55.434 > positionC: 129
18:03:55.439 > positionC: 130
18:03:55.445 > positionC: 131
18:03:55.450 > positionC: 132
18:03:55.455 > positionC: 133
18:03:55.461 > positionC: 134
18:03:55.466 > positionC: 135
18:03:55.471 > positionC: 136
18:03:55.476 > positionC: 137
18:03:55.482 > positionC: 138
18:03:55.487 > positionC: 139
18:03:55.492 > positionC: 140
18:03:55.498 > positionC: 141
18:03:55.503 > positionC: 142
18:03:55.508 > positionC: 143
18:03:55.514 > positionC: 144
18:03:55.519 > positionC: 145
18:03:55.524 > positionC: 146
18:03:55.530 > positionC: 147
18:03:55.535 > positionC: 148
18:03:55.540 > positionC: 149
18:03:55.546 > positionC: 150
18:04:09.854 > ok---------------------------------------:1
18:04:11.861 > positionC: 0
18:04:11.866 > positionC: 1
18:04:11.871 > positionC: 2
18:04:11.877 > positionC: 3
18:04:11.882 > positionC: 4
18:04:11.887 > positionC: 5
18:04:11.892 > positionC: 6
18:04:11.897 > positionC: 7
18:04:11.903 > positionC: 8
18:04:11.908 > positionC: 9
18:04:11.914 > positionC: 10
18:04:11.918 > positionC: 11
18:04:11.924 > positionC: 12
18:04:11.929 > positionC: 13
18:04:11.935 > positionC: 14
18:04:11.940 > positionC: 15
18:04:11.945 > positionC: 16
18:04:11.950 > positionC: 17
18:04:11.956 > positionC: 18
18:04:11.961 > positionC: 19
18:04:11.966 > positionC: 20
18:04:11.971 > positionC: 21
18:04:11.977 > positionC: 22
18:04:11.982 > positionC: 23
18:04:11.988 > positionC: 24
18:04:11.993 > positionC: 25
18:04:11.998 > positionC: 26
18:04:12.003 > positionC: 27
18:04:12.009 > positionC: 28
18:04:12.014 > positionC: 29
18:04:12.019 > positionC: 30
18:04:12.024 > positionC: 31
18:04:12.030 > positionC: 32
18:04:12.035 > positionC: 33
18:04:12.040 > positionC: 34
18:04:12.045 > positionC: 35
18:04:12.051 > positionC: 36
18:04:12.056 > positionC: 37
18:04:12.062 > positionC: 38
18:04:12.067 > positionC: 39
18:04:12.072 > positionC: 40
18:04:12.077 > positionC: 41
18:04:12.083 > positionC: 42
18:04:12.088 > positionC: 43
18:04:12.093 > positionC: 44
18:04:12.098 > positionC: 45
18:04:12.104 > positionC: 46
18:04:12.109 > positionC: 47
18:04:12.114 > positionC: 48
18:04:12.120 > positionC: 49
18:04:12.125 > positionC: 50
18:04:12.130 > positionC: 51
18:04:12.135 > positionC: 52
18:04:12.141 > positionC: 53
18:04:12.146 > positionC: 54
18:04:12.151 > positionC: 55
18:04:12.156 > positionC: 56
18:04:12.162 > positionC: 57
18:04:12.167 > positionC: 58
18:04:12.172 > positionC: 59
18:04:12.178 > positionC: 60
18:04:12.183 > positionC: 61
18:04:12.188 > positionC: 62
18:04:12.194 > positionC: 63
18:04:12.199 > positionC: 64
18:04:12.204 > positionC: 65
18:04:12.209 > positionC: 66
18:04:12.215 > positionC: 67
18:04:12.220 > positionC: 68
18:04:12.225 > positionC: 69
18:04:12.231 > positionC: 70
18:04:12.236 > positionC: 71
18:04:12.241 > positionC: 72
18:04:12.247 > positionC: 73
18:04:12.252 > positionC: 74
18:04:12.257 > positionC: 75
18:04:12.262 > positionC: 76
18:04:12.268 > positionC: 77
18:04:12.273 > positionC: 78
18:04:12.278 > positionC: 79
18:04:12.283 > positionC: 80
18:04:12.289 > positionC: 81
18:04:12.294 > positionC: 82
18:04:12.299 > positionC: 83
18:04:12.305 > positionC: 84
18:04:12.310 > positionC: 85
18:04:12.315 > positionC: 86
18:04:12.321 > positionC: 87
