18:54:43.540 > 16 channel Servo test!
18:54:44.064 > Angle: 0 pulse: 125
18:54:44.565 > Angle: 20 pulse: 175
18:54:45.066 > Angle: 40 pulse: 225
18:54:45.568 > Angle: 60 pulse: 275
18:54:46.069 > Angle: 80 pulse: 325
18:54:46.570 > Angle: 100 pulse: 375
18:54:47.071 > Angle: 120 pulse: 425
18:54:47.572 > Angle: 140 pulse: 475
18:54:48.073 > Angle: 160 pulse: 525
18:54:48.574 > Angle: 180 pulse: 575
18:54:50.076 > Angle: 0 pulse: 125
18:54:50.577 > Angle: 20 pulse: 175
18:54:51.078 > Angle: 40 pulse: 225
18:54:51.579 > Angle: 60 pulse: 275
18:54:52.080 > Angle: 80 pulse: 325
18:54:52.581 > Angle: 100 pulse: 375
18:54:53.082 > Angle: 120 pulse: 425
18:54:53.584 > Angle: 140 pulse: 475
18:54:54.085 > Angle: 160 pulse: 525
18:54:54.586 > Angle: 180 pulse: 575
18:54:56.087 > Angle: 0 pulse: 125
18:54:56.588 > Angle: 20 pulse: 175
18:54:57.089 > Angle: 40 pulse: 225
18:54:57.591 > Angle: 60 pulse: 275
18:54:58.092 > Angle: 80 pulse: 325
18:54:58.593 > Angle: 100 pulse: 375
18:54:59.094 > Angle: 120 pulse: 425
18:54:59.595 > Angle: 140 pulse: 475
18:55:00.096 > Angle: 160 pulse: 525
18:55:00.598 > Angle: 180 pulse: 575
18:55:02.099 > Angle: 0 pulse: 125
18:55:02.600 > Angle: 20 pulse: 175
18:55:03.101 > Angle: 40 pulse: 225
18:55:03.602 > Angle: 60 pulse: 275
18:55:04.103 > Angle: 80 pulse: 325
18:55:04.604 > Angle: 100 pulse: 375
18:55:05.106 > Angle: 120 pulse: 425
18:55:05.607 > Angle: 140 pulse: 475
18:55:06.108 > Angle: 160 pulse: 525
18:55:06.609 > Angle: 180 pulse: 575
18:55:08.110 > Angle: 0 pulse: 125
18:55:08.611 > Angle: 20 pulse: 175
18:55:09.113 > Angle: 40 pulse: 225
18:55:09.614 > Angle: 60 pulse: 275
18:55:10.115 > Angle: 80 pulse: 325
18:55:10.616 > Angle: 100 pulse: 375
18:55:11.117 > Angle: 120 pulse: 425
18:55:11.618 > Angle: 140 pulse: 475
18:55:12.119 > Angle: 160 pulse: 525
18:55:12.621 > Angle: 180 pulse: 575
18:55:14.122 > Angle: 0 pulse: 125
18:55:14.623 > Angle: 20 pulse: 175
18:55:15.124 > Angle: 40 pulse: 225
18:55:15.625 > Angle: 60 pulse: 275
18:55:16.126 > Angle: 80 pulse: 325
18:55:16.628 > Angle: 100 pulse: 375
18:55:17.129 > Angle: 120 pulse: 425
18:55:17.630 > Angle: 140 pulse: 475
18:55:18.131 > Angle: 160 pulse: 525
18:55:18.632 > Angle: 180 pulse: 575
18:55:20.130 > Angle: 0 pulse: 125
18:55:20.630 > Angle: 20 pulse: 175
18:55:21.130 > Angle: 40 pulse: 225
18:55:21.630 > Angle: 60 pulse: 275
18:55:22.130 > Angle: 80 pulse: 325
18:55:22.631 > Angle: 100 pulse: 375
18:55:23.131 > Angle: 120 pulse: 425
18:55:23.631 > Angle: 140 pulse: 475
18:55:24.132 > Angle: 160 pulse: 525
18:55:24.632 > Angle: 180 pulse: 575
18:55:26.131 > Angle: 0 pulse: 125
18:55:26.632 > Angle: 20 pulse: 175
18:55:27.132 > Angle: 40 pulse: 225
18:55:27.632 > Angle: 60 pulse: 275
18:55:28.133 > Angle: 80 pulse: 325
18:55:28.633 > Angle: 100 pulse: 375
18:55:29.134 > Angle: 120 pulse: 425
18:55:29.635 > Angle: 140 pulse: 475
18:55:30.135 > Angle: 160 pulse: 525
18:55:30.636 > Angle: 180 pulse: 575
18:55:32.136 > Angle: 0 pulse: 125
18:55:32.636 > Angle: 20 pulse: 175
18:55:33.137 > Angle: 40 pulse: 225
18:55:33.637 > Angle: 60 pulse: 275
18:55:34.138 > Angle: 80 pulse: 325
18:55:34.639 > Angle: 100 pulse: 375
18:55:35.140 > Angle: 120 pulse: 425
18:55:35.640 > Angle: 140 pulse: 475
18:55:36.141 > Angle: 160 pulse: 525
18:55:36.642 > Angle: 180 pulse: 575
18:55:38.142 > Angle: 0 pulse: 125
18:55:38.643 > Angle: 20 pulse: 175
18:55:39.144 > Angle: 40 pulse: 225
18:55:39.645 > Angle: 60 pulse: 275
18:55:40.145 > Angle: 80 pulse: 325
18:55:40.647 > Angle: 100 pulse: 375
18:55:41.147 > Angle: 120 pulse: 425
18:55:41.648 > Angle: 140 pulse: 475
18:55:42.149 > Angle: 160 pulse: 525
18:55:42.650 > Angle: 180 pulse: 575
18:55:44.150 > Angle: 0 pulse: 125
18:55:44.651 > Angle: 20 pulse: 175
18:55:45.152 > Angle: 40 pulse: 225
18:55:45.653 > Angle: 60 pulse: 275
18:55:46.154 > Angle: 80 pulse: 325
18:55:46.655 > Angle: 100 pulse: 375
18:55:47.156 > Angle: 120 pulse: 425
18:55:47.657 > Angle: 140 pulse: 475
18:55:48.158 > Angle: 160 pulse: 525
18:55:48.659 > Angle: 180 pulse: 575
18:55:50.160 > Angle: 0 pulse: 125
18:55:50.661 > Angle: 20 pulse: 175
18:55:51.162 > Angle: 40 pulse: 225
18:55:51.663 > Angle: 60 pulse: 275
18:55:52.164 > Angle: 80 pulse: 325
18:55:52.665 > Angle: 100 pulse: 375
18:55:53.166 > Angle: 120 pulse: 425
18:55:53.667 > Angle: 140 pulse: 475
18:55:54.168 > Angle: 160 pulse: 525
18:55:54.669 > Angle: 180 pulse: 575
18:55:56.170 > Angle: 0 pulse: 125
18:55:56.671 > Angle: 20 pulse: 175
18:55:57.172 > Angle: 40 pulse: 225
18:55:57.673 > Angle: 60 pulse: 275
18:55:58.174 > Angle: 80 pulse: 325
18:55:58.675 > Angle: 100 pulse: 375
18:55:59.176 > Angle: 120 pulse: 425
18:55:59.677 > Angle: 140 pulse: 475
18:56:00.178 > Angle: 160 pulse: 525
18:56:00.679 > Angle: 180 pulse: 575
18:56:02.180 > Angle: 0 pulse: 125
18:56:02.681 > Angle: 20 pulse: 175
18:56:03.182 > Angle: 40 pulse: 225
18:56:03.683 > Angle: 60 pulse: 275
18:56:04.184 > Angle: 80 pulse: 325
18:56:04.686 > Angle: 100 pulse: 375
18:56:05.187 > Angle: 120 pulse: 425
18:56:05.688 > Angle: 140 pulse: 475
18:56:06.189 > Angle: 160 pulse: 525
18:56:06.690 > Angle: 180 pulse: 575
18:56:08.191 > Angle: 0 pulse: 125
18:56:08.692 > Angle: 20 pulse: 175
18:56:09.193 > Angle: 40 pulse: 225
18:56:09.694 > Angle: 60 pulse: 275
18:56:10.195 > Angle: 80 pulse: 325
18:56:10.696 > Angle: 100 pulse: 375
18:56:11.197 > Angle: 120 pulse: 425
18:56:11.699 > Angle: 140 pulse: 475
18:56:12.200 > Angle: 160 pulse: 525
18:56:12.701 > Angle: 180 pulse: 575
18:56:14.202 > Angle: 0 pulse: 125
18:56:14.703 > Angle: 20 pulse: 175
18:56:15.204 > Angle: 40 pulse: 225
18:56:15.705 > Angle: 60 pulse: 275
18:56:16.206 > Angle: 80 pulse: 325
18:56:16.708 > Angle: 100 pulse: 375
18:56:17.209 > Angle: 120 pulse: 425
18:56:17.710 > Angle: 140 pulse: 475
18:56:18.211 > Angle: 160 pulse: 525
18:56:18.713 > Angle: 180 pulse: 575
18:56:20.213 > Angle: 0 pulse: 125
