18:35:20.935 > 16 channel Servo test!
18:35:21.459 > Angle: 0 pulse: 125
18:35:21.960 > Angle: 20 pulse: 175
18:35:22.462 > Angle: 40 pulse: 225
18:35:22.963 > Angle: 60 pulse: 275
18:35:23.464 > Angle: 80 pulse: 325
18:35:23.965 > Angle: 100 pulse: 375
18:35:24.466 > Angle: 120 pulse: 425
18:35:24.967 > Angle: 140 pulse: 475
18:35:25.469 > Angle: 160 pulse: 525
18:35:25.970 > Angle: 180 pulse: 575
18:35:27.471 > Angle: 0 pulse: 125
18:35:27.972 > Angle: 20 pulse: 175
18:35:28.473 > Angle: 40 pulse: 225
18:35:28.974 > Angle: 60 pulse: 275
18:35:29.475 > Angle: 80 pulse: 325
18:35:29.976 > Angle: 100 pulse: 375
18:35:30.478 > Angle: 120 pulse: 425
18:35:30.979 > Angle: 140 pulse: 475
18:35:31.480 > Angle: 160 pulse: 525
18:35:31.981 > Angle: 180 pulse: 575
18:35:33.482 > Angle: 0 pulse: 125
18:35:33.984 > Angle: 20 pulse: 175
18:35:34.485 > Angle: 40 pulse: 225
18:35:34.986 > Angle: 60 pulse: 275
18:35:35.487 > Angle: 80 pulse: 325
18:35:35.988 > Angle: 100 pulse: 375
18:35:36.489 > Angle: 120 pulse: 425
18:35:36.990 > Angle: 140 pulse: 475
18:35:37.492 > Angle: 160 pulse: 525
18:35:37.993 > Angle: 180 pulse: 575
18:35:39.494 > Angle: 0 pulse: 125
18:35:39.995 > Angle: 20 pulse: 175
18:35:40.496 > Angle: 40 pulse: 225
18:35:40.997 > Angle: 60 pulse: 275
18:35:41.499 > Angle: 80 pulse: 325
18:35:42.000 > Angle: 100 pulse: 375
18:35:42.501 > Angle: 120 pulse: 425
18:35:43.002 > Angle: 140 pulse: 475
18:35:43.503 > Angle: 160 pulse: 525
18:35:44.004 > Angle: 180 pulse: 575
18:35:45.506 > Angle: 0 pulse: 125
18:35:46.007 > Angle: 20 pulse: 175
18:35:46.508 > Angle: 40 pulse: 225
18:35:47.009 > Angle: 60 pulse: 275
18:35:47.510 > Angle: 80 pulse: 325
18:35:48.011 > Angle: 100 pulse: 375
18:35:48.512 > Angle: 120 pulse: 425
18:35:49.013 > Angle: 140 pulse: 475
18:35:49.515 > Angle: 160 pulse: 525
18:35:50.016 > Angle: 180 pulse: 575
18:35:51.517 > Angle: 0 pulse: 125
18:35:52.018 > Angle: 20 pulse: 175
18:35:52.520 > Angle: 40 pulse: 225
18:35:53.020 > Angle: 60 pulse: 275
18:35:53.522 > Angle: 80 pulse: 325
18:35:54.023 > Angle: 100 pulse: 375
18:35:54.524 > Angle: 120 pulse: 425
18:35:55.025 > Angle: 140 pulse: 475
18:35:55.527 > Angle: 160 pulse: 525
18:35:56.028 > Angle: 180 pulse: 575
18:35:57.529 > Angle: 0 pulse: 125
18:35:58.030 > Angle: 20 pulse: 175
18:35:58.531 > Angle: 40 pulse: 225
18:35:59.032 > Angle: 60 pulse: 275
18:35:59.533 > Angle: 80 pulse: 325
18:36:00.034 > Angle: 100 pulse: 375
18:36:00.536 > Angle: 120 pulse: 425
18:36:01.037 > Angle: 140 pulse: 475
18:36:01.538 > Angle: 160 pulse: 525
18:36:02.039 > Angle: 180 pulse: 575
18:36:03.540 > Angle: 0 pulse: 125
18:36:04.041 > Angle: 20 pulse: 175
18:36:04.542 > Angle: 40 pulse: 225
18:36:05.044 > Angle: 60 pulse: 275
18:36:05.545 > Angle: 80 pulse: 325
18:36:06.046 > Angle: 100 pulse: 375
18:36:06.547 > Angle: 120 pulse: 425
18:36:07.048 > Angle: 140 pulse: 475
18:36:07.549 > Angle: 160 pulse: 525
18:36:08.051 > Angle: 180 pulse: 575
18:36:09.552 > Angle: 0 pulse: 125
18:36:10.053 > Angle: 20 pulse: 175
18:36:10.554 > Angle: 40 pulse: 225
18:36:11.056 > Angle: 60 pulse: 275
18:36:11.556 > Angle: 80 pulse: 325
18:36:12.058 > Angle: 100 pulse: 375
18:36:12.559 > Angle: 120 pulse: 425
18:36:13.060 > Angle: 140 pulse: 475
18:36:13.561 > Angle: 160 pulse: 525
18:36:14.062 > Angle: 180 pulse: 575
18:36:15.563 > Angle: 0 pulse: 125
18:36:16.065 > Angle: 20 pulse: 175
18:36:16.566 > Angle: 40 pulse: 225
18:36:17.067 > Angle: 60 pulse: 275
18:36:17.568 > Angle: 80 pulse: 325
18:36:18.069 > Angle: 100 pulse: 375
