19:28:22.249 > positionC: 0
19:28:22.254 > positionC: 1
19:28:22.260 > positionC: 2
19:28:22.265 > positionC: 3
19:28:22.270 > positionC: 4
19:28:22.275 > positionC: 5
19:28:22.280 > positionC: 6
19:28:22.286 > positionC: 7
19:28:22.291 > positionC: 8
19:28:22.296 > positionC: 9
19:28:22.302 > positionC: 10
19:28:22.307 > positionC: 11
19:28:22.312 > positionC: 12
19:28:22.318 > positionC: 13
19:28:22.323 > positionC: 14
19:28:22.328 > positionC: 15
19:28:22.333 > positionC: 16
19:28:22.339 > positionC: 17
19:28:22.344 > positionC: 18
19:28:22.349 > positionC: 19
19:28:22.355 > positionC: 20
19:28:22.360 > positionC: 21
19:28:22.365 > positionC: 22
19:28:22.371 > positionC: 23
19:28:22.376 > positionC: 24
19:28:22.381 > positionC: 25
19:28:22.386 > positionC: 26
19:28:22.392 > positionC: 27
19:28:22.397 > positionC: 28
19:28:22.402 > positionC: 29
19:28:22.408 > positionC: 30
19:28:22.413 > positionC: 31
19:28:22.418 > positionC: 32
19:28:22.424 > positionC: 33
19:28:22.429 > positionC: 34
19:28:22.434 > positionC: 35
19:28:22.439 > positionC: 36
19:28:22.444 > positionC: 37
19:28:22.449 > posi�okok---------------------------------------:1
19:28:26.200 > positionC: 0
19:28:26.205 > positionC: 1
19:28:26.210 > positionC: 2
19:28:26.216 > positionC: 3
19:28:26.221 > positionC: 4
19:28:26.226 > positionC: 5
19:28:26.231 > positionC: 6
19:28:26.237 > positionC: 7
19:28:26.243 > positionC: 8
19:28:26.247 > positionC: 9
19:28:26.253 > positionC: 10
19:28:26.258 > positionC: 11
19:28:26.263 > positionC: 12
19:28:26.268 > positionC: 13
19:28:26.274 > positionC: 14
19:28:26.279 > positionC: 15
19:28:26.284 > positionC: 16
19:28:26.290 > positionC: 17
19:28:26.295 > positionC: 18
19:28:26.303 > positionC: 19
19:28:26.305 > positionC: 20
19:28:26.311 > positionC: 21
19:28:26.316 > positionC: 22
19:28:26.322 > positionC: 23
19:28:26.326 > positionC: 24
19:28:26.333 > positionC: 25
19:28:26.337 > positionC: 26
19:28:26.345 > positionC: 27
19:28:26.348 > positionC: 28
19:28:26.354 > positionC: 29
19:28:26.359 > positionC: 30
19:28:26.363 > positionC: 31
19:28:26.369 > positionC: 32
