18:27:26.427 > ok---------------------------------------:1
18:27:28.434 > positionC: 0
18:27:28.439 > positionC: 1
18:27:28.444 > positionC: 2
18:27:28.450 > positionC: 3
18:27:28.455 > positionC: 4
18:27:28.460 > positionC: 5
18:27:28.465 > positionC: 6
18:27:28.471 > positionC: 7
18:27:28.476 > positionC: 8
18:27:28.481 > positionC: 9
18:27:28.487 > positionC: 10
18:27:28.492 > positionC: 11
18:27:28.497 > positionC: 12
18:27:28.502 > positionC: 13
18:27:28.508 > positionC: 14
18:27:28.513 > positionC: 15
18:27:28.518 > positionC: 16
18:27:28.524 > positionC: 17
18:27:28.529 > positionC: 18
18:27:28.534 > positionC: 19
18:27:28.539 > positionC: 20
18:27:28.545 > positionC: 21
18:27:28.550 > positionC: 22
18:27:28.555 > positionC: 23
18:27:28.560 > positionC: 24
18:27:28.566 > positionC: 25
18:27:28.571 > positionC: 26
18:27:28.577 > positionC: 27
18:27:28.582 > positionC: 28
18:27:28.587 > positionC: 29
18:27:28.592 > positionC: 30
18:27:28.598 > positionC: 31
18:27:28.603 > positionC: 32
18:27:28.608 > positionC: 33
18:27:28.613 > positionC: 34
18:27:28.619 > positionC: 35
18:27:28.624 > positionC: 36
18:27:28.629 > positionC: 37
18:27:28.634 > positionC: 38
18:27:28.640 > positionC: 39
18:27:28.645 > positionC: 40
18:27:28.651 > positionC: 41
18:27:28.656 > positionC: 42
18:27:28.661 > positionC: 43
18:27:28.666 > positionC: 44
18:27:28.672 > positionC: 45
18:27:28.677 > positionC: 46
18:27:28.682 > positionC: 47
18:27:28.687 > positionC: 48
18:27:28.693 > positionC: 49
18:27:28.698 > positionC: 50
18:27:28.703 > positionC: 51
18:27:28.708 > positionC: 52
18:27:28.714 > positionC: 53
18:27:28.719 > positionC: 54
18:27:28.725 > positionC: 55
18:27:28.730 > positionC: 56
18:27:28.735 > positionC: 57
18:27:28.740 > positionC: 58
18:27:28.746 > positionC: 59
18:27:28.751 > positionC: 60
18:27:28.756 > positionC: 61
18:27:28.762 > positionC: 62
18:27:28.767 > positionC: 63
18:27:28.772 > positionC: 64
18:27:28.777 > positionC: 65
18:27:28.783 > positionC: 66
18:27:28.788 > positionC: 67
18:27:28.793 > positionC: 68
18:27:28.798 > positionC: 69
18:27:28.804 > positionC: 70
