18:43:31.221 > ok---------------------------------------:1
18:43:33.228 > positionC: 0
18:43:33.233 > positionC: 1
18:43:33.239 > positionC: 2
18:43:33.244 > positionC: 3
18:43:33.249 > positionC: 4
18:43:33.254 > positionC: 5
18:43:33.260 > positionC: 6
18:43:33.265 > positionC: 7
18:43:33.270 > positionC: 8
18:43:33.275 > positionC: 9
18:43:33.281 > positionC: 10
18:43:33.286 > positionC: 11
18:43:33.291 > positionC: 12
18:43:33.297 > positionC: 13
18:43:33.304 > positionC: 14
18:43:33.312 > positionC: 15
18:43:33.313 > positionC: 16
18:43:33.318 > positionC: 17
18:43:33.323 > positionC: 18
18:43:33.328 > positionC: 19
18:43:33.333 > positionC: 20
18:43:33.339 > positionC: 21
18:43:33.344 > positionC: 22
18:43:33.350 > positionC: 23
18:43:33.355 > positionC: 24
18:43:33.360 > positionC: 25
18:43:33.365 > positionC: 26
18:43:33.371 > positionC: 27
18:43:33.376 > positionC: 28
18:43:33.381 > positionC: 29
18:43:33.386 > positionC: 30
18:43:33.392 > positionC: 31
18:43:33.397 > positionC: 32
18:43:33.402 > positionC: 33
18:43:33.407 > positionC: 34
18:43:33.413 > positionC: 35
18:43:33.418 > positionC: 36
18:43:33.424 > positionC: 37
18:43:33.429 > positionC: 38
18:43:33.434 > positionC: 39
18:43:33.439 > positionC: 40
18:43:33.445 > positionC: 41
18:43:33.450 > positionC: 42
18:43:33.455 > positionC: 43
18:43:33.460 > positionC: 44
18:43:33.466 > positionC: 45
18:43:33.471 > positionC: 46
18:43:33.477 > positionC: 47
18:43:33.482 > positionC: 48
18:43:33.487 > positionC: 49
18:43:33.492 > positionC: 50
18:43:35.492 > ---------------------------------------:-1
18:43:35.498 > positionC: 50
18:43:35.504 > positionC: 49
18:43:35.509 > positionC: 48
18:43:35.514 > positionC: 47
18:43:35.519 > positionC: 46
18:43:35.525 > positionC: 45
18:43:35.530 > positionC: 44
18:43:35.535 > positionC: 43
18:43:35.540 > positionC: 42
18:43:35.545 > positionC: 41
18:43:35.551 > positionC: 40
18:43:35.556 > positionC: 39
18:43:35.561 > positionC: 38
18:43:35.566 > positionC: 37
18:43:35.572 > positionC: 36
18:43:35.577 > positionC: 35
18:43:35.583 > positionC: 34
18:43:35.588 > positionC: 33
18:43:35.593 > positionC: 32
18:43:35.598 > positionC: 31
18:43:35.604 > positionC: 30
18:43:35.609 > positionC: 29
18:43:35.614 > positionC: 28
18:43:35.619 > positionC: 27
18:43:35.625 > positionC: 26
18:43:35.630 > positionC: 25
18:43:35.636 > positionC: 24
18:43:35.641 > positionC: 23
18:43:35.646 > positionC: 22
18:43:35.651 > positionC: 21
18:43:35.657 > positionC: 20
18:43:35.662 > positionC: 19
18:43:35.667 > positionC: 18
18:43:35.672 > positionC: 17
18:43:35.678 > positionC: 16
18:43:35.683 > positionC: 15
18:43:35.688 > positionC: 14
18:43:35.694 > positionC: 13
18:43:35.699 > positionC: 12
18:43:35.704 > positionC: 11
18:43:35.710 > positionC: 10
18:43:35.715 > positionC: 9
18:43:35.720 > positionC: 8
18:43:35.725 > positionC: 7
18:43:35.730 > positionC: 6
18:43:35.735 > positionC: 5
18:43:35.741 > positionC: 4
18:43:35.746 > positionC: 3
18:43:35.751 > positionC: 2
18:43:35.757 > positionC: 1
18:43:35.762 > positionC: 0
18:43:35.767 > positionC: 255
18:43:35.773 > positionC: 254
18:43:35.778 > positionC: 253
