15:04:34.473 > ---------------------------------------1
15:04:34.478 > positionC: 130
15:04:34.484 > positionC: 131
15:04:34.489 > positionC: 132
15:04:34.494 > positionC: 133
15:04:34.500 > positionC: 134
15:04:34.505 > positionC: 135
15:04:34.510 > positionC: 136
15:04:34.515 > positionC: 137
15:04:34.521 > positionC: 138
15:04:34.526 > positionC: 139
15:04:34.532 > positionC: 140
15:04:34.537 > positionC: 141
15:04:34.542 > positionC: 142
15:04:34.548 > positionC: 143
15:04:34.553 > positionC: 144
15:04:34.558 > positionC: 145
15:04:34.563 > positionC: 146
15:04:34.569 > positionC: 147
15:04:34.574 > positionC: 148
15:04:34.579 > positionC: 149
15:04:34.584 > positionC: 150
15:04:34.590 > positionC: 151
15:04:34.595 > positionC: 152
15:04:34.600 > positionC: 153
15:04:34.606 > positionC: 154
15:04:34.611 > positionC: 155
15:04:34.616 > positionC: 156
15:04:34.622 > positionC: 157
15:04:34.627 > positionC: 158
15:04:34.633 > positionC: 159
15:04:34.638 > positionC: 160
15:04:34.643 > positionC: 161
15:04:34.648 > positionC: 162
15:04:34.654 > positionC: 163
15:04:34.659 > positionC: 164
15:04:34.664 > positionC: 165
15:04:34.669 > positionC: 166
15:04:34.675 > positionC: 167
15:04:34.680 > positionC: 168
15:04:34.685 > positionC: 169
15:04:34.691 > positionC: 170
15:04:34.696 > positionC: 171
15:04:34.701 > positionC: 172
15:04:34.707 > positionC: 173
15:04:34.712 > positionC: 174
15:04:34.717 > positionC: 175
15:04:34.723 > positionC: 176
15:04:34.728 > positionC: 177
15:04:34.733 > positionC: 178
15:04:34.739 > positionC: 179
15:04:34.744 > positionC: 180
15:04:36.744 > ----------------------------------------1
15:04:36.750 > positionC: 180
15:04:36.755 > positionC: 179
15:04:36.760 > positionC: 178
15:04:36.766 > positionC: 177
15:04:36.771 > positionC: 176
15:04:36.776 > positionC: 175
15:04:36.781 > positionC: 174
15:04:36.787 > positionC: 173
15:04:36.792 > positionC: 172
15:04:36.797 > positionC: 171
15:04:36.803 > positionC: 170
15:04:36.808 > positionC: 169
15:04:36.813 > positionC: 168
15:04:36.819 > positionC: 167
15:04:36.824 > positionC: 166
15:04:36.829 > positionC: 165
15:04:36.834 > positionC: 164
15:04:36.840 > positionC: 163
15:04:36.845 > positionC: 162
15:04:36.850 > positionC: 161
15:04:36.856 > positionC: 160
15:04:36.861 > positionC: 159
15:04:36.867 > positionC: 158
15:04:36.872 > positionC: 157
15:04:36.877 > positionC: 156
15:04:36.882 > positionC: 155
15:04:36.888 > positionC: 154
15:04:36.893 > positionC: 153
15:04:36.898 > positionC: 152
15:04:36.904 > positionC: 151
15:04:36.909 > positionC: 150
15:04:36.914 > positionC: 149
15:04:36.919 > positionC: 148
15:04:36.925 > positionC: 147
15:04:36.930 > positionC: 146
15:04:36.935 > positionC: 145
15:04:36.941 > positionC: 144
15:04:36.946 > positionC: 143
15:04:36.951 > positionC: 142
15:04:36.957 > positionC: 141
15:04:36.962 > positionC: 140
15:04:36.967 > positionC: 139
15:04:36.973 > positionC: 138
15:04:36.978 > positionC: 137
15:04:36.983 > positionC: 136
15:04:36.989 > positionC: 135
15:04:36.994 > positionC: 134
15:04:36.999 > positionC: 133
15:04:37.004 > positionC: 132
15:04:37.010 > positionC: 131
15:04:37.015 > positionC: 130
15:04:37.020 > positionC: 129
15:04:37.025 > positionC: 128
15:04:37.031 > positionC: 127
15:04:37.036 > positionC: 126
15:04:37.042 > positionC: 125
15:04:42.080 > ---------------------------------------1
15:04:42.086 > positionC: 130
15:04:42.091 > positionC: 131
15:04:42.097 > positionC: 132
15:04:42.102 > positionC: 133
15:04:42.107 > positionC: 134
15:04:42.113 > positionC: 135
15:04:42.118 > positionC: 136
15:04:42.123 > positionC: 137
15:04:42.128 > positionC: 138
15:04:42.134 > positionC: 139
15:04:42.139 > positionC: 140
15:04:42.144 > positionC: 141
15:04:42.150 > positionC: 142
15:04:42.155 > positionC: 143
15:04:42.160 > positionC: 144
15:04:42.165 > positionC: 145
15:04:42.171 > positionC: 146
15:04:42.176 > positionC: 147
15:04:42.182 > positionC: 148
15:04:42.187 > positionC: 149
15:04:42.192 > positionC: 150
15:04:42.197 > positionC: 151
15:04:42.203 > positionC: 152
15:04:42.208 > positionC: 153
15:04:42.213 > positionC: 154
15:04:42.219 > positionC: 155
15:04:42.224 > positionC: 156
15:04:42.229 > positionC: 157
15:04:42.235 > positionC: 158
15:04:42.240 > positionC: 159
