20:03:26.726 > 16 channel Servo test!
20:03:27.250 > Angle: 0 pulse: 125
20:03:27.752 > Angle: 20 pulse: 175
20:03:28.253 > Angle: 40 pulse: 225
20:03:28.754 > Angle: 60 pulse: 275
20:03:29.255 > Angle: 80 pulse: 325
20:03:29.756 > Angle: 100 pulse: 375
20:03:30.257 > Angle: 120 pulse: 425
20:03:30.759 > Angle: 140 pulse: 475
20:03:31.260 > Angle: 160 pulse: 525
20:03:31.761 > Angle: 180 pulse: 575
20:03:33.262 > Angle: 0 pulse: 125
20:03:33.763 > Angle: 20 pulse: 175
20:03:34.264 > Angle: 40 pulse: 225
20:03:34.766 > Angle: 60 pulse: 275
20:03:35.267 > Angle: 80 pulse: 325
20:03:35.768 > Angle: 100 pulse: 375
20:03:36.269 > Angle: 120 pulse: 425
20:03:36.770 > Angle: 140 pulse: 475
20:03:37.271 > Angle: 160 pulse: 525
20:03:37.772 > Angle: 180 pulse: 575
20:03:39.274 > Angle: 0 pulse: 125
20:03:39.775 > Angle: 20 pulse: 175
20:03:40.276 > Angle: 40 pulse: 225
20:03:40.777 > Angle: 60 pulse: 275
20:03:41.278 > Angle: 80 pulse: 325
20:03:41.779 > Angle: 100 pulse: 375
20:03:42.280 > Angle: 120 pulse: 425
20:03:42.782 > Angle: 140 pulse: 475
20:03:43.283 > Angle: 160 pulse: 525
20:03:43.784 > Angle: 180 pulse: 575
20:03:45.285 > Angle: 0 pulse: 125
20:03:45.786 > Angle: 20 pulse: 175
20:03:46.287 > Angle: 40 pulse: 225
20:03:46.788 > Angle: 60 pulse: 275
20:03:47.290 > Angle: 80 pulse: 325
20:03:47.791 > Angle: 100 pulse: 375
20:03:48.292 > Angle: 120 pulse: 425
20:03:48.793 > Angle: 140 pulse: 475
20:03:49.294 > Angle: 160 pulse: 525
20:03:49.795 > Angle: 180 pulse: 575
20:03:51.297 > Angle: 0 pulse: 125
20:03:51.798 > Angle: 20 pulse: 175
20:03:52.299 > Angle: 40 pulse: 225
20:03:52.800 > Angle: 60 pulse: 275
20:03:53.301 > Angle: 80 pulse: 325
20:03:53.802 > Angle: 100 pulse: 375
20:03:54.304 > Angle: 120 pulse: 425
20:03:54.805 > Angle: 140 pulse: 475
20:03:55.306 > Angle: 160 pulse: 525
20:03:55.807 > Angle: 180 pulse: 575
20:03:57.308 > Angle: 0 pulse: 125
20:03:57.809 > Angle: 20 pulse: 175
20:03:58.310 > Angle: 40 pulse: 225
20:03:58.811 > Angle: 60 pulse: 275
20:03:59.313 > Angle: 80 pulse: 325
20:03:59.814 > Angle: 100 pulse: 375
20:04:00.315 > Angle: 120 pulse: 425
20:04:00.816 > Angle: 140 pulse: 475
20:04:01.317 > Angle: 160 pulse: 525
20:04:01.819 > Angle: 180 pulse: 575
20:04:03.320 > Angle: 0 pulse: 125
20:04:03.821 > Angle: 20 pulse: 175
20:04:04.322 > Angle: 40 pulse: 225
20:04:04.823 > Angle: 60 pulse: 275
20:04:05.324 > Angle: 80 pulse: 325
20:04:05.825 > Angle: 100 pulse: 375
20:04:06.327 > Angle: 120 pulse: 425
20:04:06.828 > Angle: 140 pulse: 475
20:04:07.329 > Angle: 160 pulse: 525
20:04:07.830 > Angle: 180 pulse: 575
20:04:09.331 > Angle: 0 pulse: 125
20:04:09.832 > Angle: 20 pulse: 175
20:04:10.334 > Angle: 40 pulse: 225
20:04:10.835 > Angle: 60 pulse: 275
20:04:11.336 > Angle: 80 pulse: 325
20:04:11.837 > Angle: 100 pulse: 375
20:04:12.338 > Angle: 120 pulse: 425
20:04:12.839 > Angle: 140 pulse: 475
20:04:13.340 > Angle: 160 pulse: 525
20:04:13.842 > Angle: 180 pulse: 575
20:04:15.343 > Angle: 0 pulse: 125
20:04:15.844 > Angle: 20 pulse: 175
20:04:16.345 > Angle: 40 pulse: 225
20:04:16.846 > Angle: 60 pulse: 275
20:04:17.347 > Angle: 80 pulse: 325
20:04:17.848 > Angle: 100 pulse: 375
20:04:18.350 > Angle: 120 pulse: 425
20:04:18.851 > Angle: 140 pulse: 475
20:04:19.352 > Angle: 160 pulse: 525
20:04:19.853 > Angle: 180 pulse: 575
