20:40:21.656 > 16 channel Servo test!
20:40:22.181 > Angle: 0 pulse: 125
20:40:22.682 > Angle: 20 pulse: 175
20:40:23.183 > Angle: 40 pulse: 225
20:40:23.684 > Angle: 60 pulse: 275
20:40:24.185 > Angle: 80 pulse: 325
20:40:24.686 > Angle: 100 pulse: 375
20:40:25.187 > Angle: 120 pulse: 425
20:40:25.689 > Angle: 140 pulse: 475
20:40:26.190 > Angle: 160 pulse: 525
20:40:26.691 > Angle: 180 pulse: 575
20:40:28.192 > Angle: 0 pulse: 125
20:40:28.693 > Angle: 20 pulse: 175
20:40:29.194 > Angle: 40 pulse: 225
20:40:29.695 > Angle: 60 pulse: 275
20:40:30.196 > Angle: 80 pulse: 325
20:40:30.698 > Angle: 100 pulse: 375
20:40:31.199 > Angle: 120 pulse: 425
20:40:31.700 > Angle: 140 pulse: 475
20:40:32.201 > Angle: 160 pulse: 525
20:40:32.703 > Angle: 180 pulse: 575
20:40:34.203 > Angle: 0 pulse: 125
20:40:34.705 > Angle: 20 pulse: 175
20:40:35.206 > Angle: 40 pulse: 225
20:40:35.707 > Angle: 60 pulse: 275
20:40:36.208 > Angle: 80 pulse: 325
20:40:36.709 > Angle: 100 pulse: 375
20:40:37.210 > Angle: 120 pulse: 425
20:40:37.712 > Angle: 140 pulse: 475
20:40:38.213 > Angle: 160 pulse: 525
20:40:38.714 > Angle: 180 pulse: 575
20:40:40.215 > Angle: 0 pulse: 125
20:40:40.716 > Angle: 20 pulse: 175
20:40:41.217 > Angle: 40 pulse: 225
20:40:41.718 > Angle: 60 pulse: 275
20:40:42.219 > Angle: 80 pulse: 325
20:40:42.721 > Angle: 100 pulse: 375
20:40:43.222 > Angle: 120 pulse: 425
20:40:43.723 > Angle: 140 pulse: 475
20:40:44.224 > Angle: 160 pulse: 525
20:40:44.725 > Angle: 180 pulse: 575
20:40:46.226 > Angle: 0 pulse: 125
20:40:46.728 > Angle: 20 pulse: 175
20:40:47.229 > Angle: 40 pulse: 225
20:40:47.730 > Angle: 60 pulse: 275
20:40:48.231 > Angle: 80 pulse: 325
20:40:48.732 > Angle: 100 pulse: 375
20:40:49.233 > Angle: 120 pulse: 425
20:40:49.734 > Angle: 140 pulse: 475
20:40:50.236 > Angle: 160 pulse: 525
20:40:50.737 > Angle: 180 pulse: 575
20:40:52.238 > Angle: 0 pulse: 125
20:40:52.739 > Angle: 20 pulse: 175
20:40:53.240 > Angle: 40 pulse: 225
20:40:53.741 > Angle: 60 pulse: 275
20:40:54.243 > Angle: 80 pulse: 325
20:40:54.744 > Angle: 100 pulse: 375
20:40:55.245 > Angle: 120 pulse: 425
20:40:55.746 > Angle: 140 pulse: 475
20:40:56.247 > Angle: 160 pulse: 525
20:40:56.748 > Angle: 180 pulse: 575
20:40:58.249 > Angle: 0 pulse: 125
20:40:58.750 > Angle: 20 pulse: 175
20:40:59.252 > Angle: 40 pulse: 225
20:40:59.753 > Angle: 60 pulse: 275
20:41:00.254 > Angle: 80 pulse: 325
20:41:00.755 > Angle: 100 pulse: 375
20:41:01.256 > Angle: 120 pulse: 425
20:41:01.757 > Angle: 140 pulse: 475
20:41:02.258 > Angle: 160 pulse: 525
20:41:02.760 > Angle: 180 pulse: 575
20:41:04.261 > Angle: 0 pulse: 125
20:41:04.762 > Angle: 20 pulse: 175
20:41:05.263 > Angle: 40 pulse: 225
20:41:05.764 > Angle: 60 pulse: 275
20:41:06.265 > Angle: 80 pulse: 325
20:41:06.766 > Angle: 100 pulse: 375
20:41:07.267 > Angle: 120 pulse: 425
20:41:07.769 > Angle: 140 pulse: 475
20:41:08.270 > Angle: 160 pulse: 525
20:41:08.771 > Angle: 180 pulse: 575
20:41:10.272 > Angle: 0 pulse: 125
20:41:10.773 > Angle: 20 pulse: 175
20:41:11.274 > Angle: 40 pulse: 225
20:41:11.775 > Angle: 60 pulse: 275
20:41:12.277 > Angle: 80 pulse: 325
20:41:12.778 > Angle: 100 pulse: 375
20:41:13.279 > Angle: 120 pulse: 425
20:41:13.780 > Angle: 140 pulse: 475
20:41:14.281 > Angle: 160 pulse: 525
20:41:14.783 > Angle: 180 pulse: 575
20:41:16.283 > Angle: 0 pulse: 125
20:41:16.785 > Angle: 20 pulse: 175
20:41:17.286 > Angle: 40 pulse: 225
20:41:17.787 > Angle: 60 pulse: 275
20:41:18.288 > Angle: 80 pulse: 325
20:41:18.789 > Angle: 100 pulse: 375
20:41:19.291 > Angle: 120 pulse: 425
20:41:19.792 > Angle: 140 pulse: 475
20:41:20.293 > Angle: 160 pulse: 525
20:41:20.794 > Angle: 180 pulse: 575
20:41:22.295 > Angle: 0 pulse: 125
20:41:22.796 > Angle: 20 pulse: 175
20:41:23.297 > Angle: 40 pulse: 225
20:41:23.799 > Angle: 60 pulse: 275
20:41:24.300 > Angle: 80 pulse: 325
20:41:24.801 > Angle: 100 pulse: 375
20:41:25.302 > Angle: 120 pulse: 425
20:41:25.803 > Angle: 140 pulse: 475
20:41:26.304 > Angle: 160 pulse: 525
20:41:26.805 > Angle: 180 pulse: 575
20:41:28.306 > Angle: 0 pulse: 125
20:41:28.808 > Angle: 20 pulse: 175
20:41:29.309 > Angle: 40 pulse: 225
20:41:29.810 > Angle: 60 pulse: 275
20:41:30.311 > Angle: 80 pulse: 325
20:41:30.812 > Angle: 100 pulse: 375
20:41:31.313 > Angle: 120 pulse: 425
20:41:31.814 > Angle: 140 pulse: 475
20:41:32.315 > Angle: 160 pulse: 525
20:41:32.817 > Angle: 180 pulse: 575
