18:07:41.012 > ok---------------------------------------:1
18:07:43.018 > positionC: 0
18:07:43.023 > positionC: 1
18:07:43.029 > positionC: 2
18:07:43.034 > positionC: 3
18:07:43.039 > positionC: 4
18:07:43.044 > positionC: 5
18:07:43.050 > positionC: 6
18:07:43.055 > positionC: 7
18:07:43.060 > positionC: 8
18:07:43.066 > positionC: 9
18:07:43.071 > positionC: 10
18:07:43.076 > positionC: 11
18:07:43.082 > positionC: 12
18:07:43.087 > positionC: 13
18:07:43.092 > positionC: 14
18:07:43.097 > positionC: 15
18:07:43.103 > positionC: 16
18:07:43.108 > positionC: 17
18:07:43.113 > positionC: 18
18:07:43.118 > positionC: 19
18:07:43.123 > positionC: 20
18:07:43.129 > positionC: 21
18:07:43.134 > positionC: 22
18:07:43.139 > positionC: 23
18:07:43.145 > positionC: 24
18:07:43.150 > positionC: 25
18:07:43.156 > positionC: 26
18:07:43.162 > positionC: 27
18:07:43.166 > positionC: 28
18:07:43.171 > positionC: 29
18:07:43.176 > positionC: 30
18:07:43.182 > positionC: 31
18:07:43.187 > positionC: 32
18:07:43.193 > positionC: 33
18:07:43.198 > positionC: 34
18:07:43.203 > positionC: 35
18:07:43.208 > positionC: 36
18:07:43.216 > positionC: 37
18:07:43.219 > positionC: 38
18:07:43.224 > positionC: 39
18:07:43.229 > positionC: 40
18:07:43.235 > positionC: 41
18:07:43.240 > positionC: 42
18:07:43.245 > positionC: 43
18:07:43.250 > positionC: 44
18:07:43.256 > positionC: 45
18:07:43.261 > positionC: 46
18:07:43.267 > positionC: 47
18:07:43.272 > positionC: 48
18:07:43.277 > positionC: 49
18:07:43.282 > positionC: 50
18:07:43.288 > positionC: 51
18:07:43.293 > positionC: 52
18:07:43.298 > positionC: 53
18:07:43.303 > positionC: 54
18:07:43.309 > positionC: 55
18:07:43.314 > positionC: 56
18:07:43.320 > positionC: 57
18:07:43.324 > positionC: 58
18:07:43.330 > positionC: 59
18:07:43.335 > positionC: 60
18:07:43.341 > positionC: 61
18:07:43.346 > positionC: 62
18:07:43.351 > positionC: 63
18:07:43.356 > positionC: 64
18:07:43.362 > positionC: 65
18:07:43.367 > positionC: 66
18:07:43.372 > positionC: 67
18:07:43.377 > positionC: 68
18:07:43.383 > positionC: 69
18:07:43.388 > positionC: 70
18:07:43.393 > positionC: 71
18:07:43.399 > positionC: 72
18:07:43.404 > positionC: 73
18:07:43.409 > positionC: 74
18:07:43.414 > positionC: 75
18:07:43.420 > positionC: 76
18:07:43.425 > positionC: 77
18:07:43.430 > positionC: 78
18:07:43.436 > positionC: 79
18:07:43.441 > positionC: 80
18:07:43.446 > positionC: 81
18:07:43.451 > positionC: 82
18:07:43.457 > positionC: 83
18:07:43.462 > positionC: 84
18:07:43.467 > positionC: 85
18:07:43.473 > positionC: 86
18:07:43.478 > positionC: 87
18:07:43.483 > positionC: 88
18:07:43.488 > positionC: 89
18:07:43.494 > positionC: 90
18:07:43.499 > positionC: 91
18:07:43.504 > positionC: 92
18:07:43.509 > positionC: 93
18:07:43.515 > positionC: 94
18:07:43.520 > positionC: 95
18:07:43.525 > positionC: 96
18:07:43.531 > positionC: 97
18:07:43.536 > positionC: 98
18:07:43.541 > positionC: 99
18:07:43.547 > positionC: 100
18:07:43.552 > positionC: 101
18:07:43.557 > positionC: 102
18:07:43.563 > positionC: 103
18:07:43.568 > positionC: 104
18:07:43.573 > positionC: 105
18:07:43.578 > positionC: 106
18:07:43.584 > positionC: 107
18:07:43.589 > positionC: 108
18:07:43.595 > positionC: 109
18:07:43.609 > positionC: 110
18:07:43.609 > positionC: 111
18:07:43.611 > positionC: 112
18:07:43.616 > positionC: 113
18:07:43.621 > positionC: 114
18:07:43.626 > positionC: 115
18:07:43.632 > positionC: 116
18:07:43.637 > positionC: 117
18:07:43.642 > positionC: 118
18:07:43.647 > positionC: 119
18:07:43.653 > positionC: 120
18:07:45.653 > ---------------------------------------:1
18:07:45.659 > positionC: 120
18:07:45.664 > positionC: 121
18:07:45.669 > positionC: 122
18:07:45.675 > positionC: 123
18:07:45.680 > positionC: 124
18:07:45.685 > positionC: 125
18:07:45.690 > positionC: 126
18:07:45.696 > positionC: 127
18:07:45.701 > positionC: 128
18:07:45.706 > positionC: 129
18:07:45.712 > positionC: 130
18:07:45.717 > positionC: 131
18:07:45.722 > positionC: 132
18:07:45.728 > positionC: 133
18:07:45.734 > positionC: 134
18:07:45.738 > positionC: 135
18:07:45.744 > positionC: 136
18:07:45.749 > positionC: 137
18:07:45.754 > positionC: 138
18:07:45.760 > positionC: 139
18:07:45.765 > positionC: 140
18:07:45.770 > positionC: 141
18:07:45.775 > positionC: 142
18:07:45.781 > positionC: 143
18:07:45.786 > positionC: 144
18:07:45.791 > positionC: 145
18:07:45.797 > positionC: 146
18:07:45.802 > positionC: 147
18:07:45.807 > positionC: 148
18:07:45.812 > positionC: 149
18:07:45.818 > positionC: 150
18:07:49.069 > ok---------------------------------------:1
18:07:51.075 > positionC: 0
18:07:51.080 > positionC: 1
18:07:51.085 > positionC: 2
18:07:51.091 > positionC: 3
18:07:51.096 > positionC: 4
18:07:51.101 > positionC: 5
18:07:51.106 > positionC: 6
18:07:51.112 > positionC: 7
18:07:51.117 > positionC: 8
18:07:51.122 > positionC: 9
18:07:51.128 > positionC: 10
18:07:51.133 > positionC: 11
18:07:51.138 > positionC: 12
18:07:51.143 > positionC: 13
18:07:51.149 > positionC: 14
18:07:51.154 > positionC: 15
18:07:51.159 > positionC: 16
18:07:51.164 > positionC: 17
18:07:51.170 > positionC: 18
18:07:51.175 > positionC: 19
18:07:51.181 > positionC: 20
18:07:51.186 > positionC: 21
18:07:51.191 > positionC: 22
18:07:51.196 > positionC: 23
18:07:51.202 > positionC: 24
18:07:51.207 > positionC: 25
18:07:51.212 > positionC: 26
18:07:51.217 > positionC: 27
18:07:51.223 > positionC: 28
18:07:51.228 > positionC: 29
18:07:51.233 > positionC: 30
18:07:51.239 > positionC: 31
18:07:51.244 > positionC: 32
18:07:51.249 > positionC: 33
18:07:51.255 > positionC: 34
18:07:51.260 > positionC: 35
18:07:51.265 > positionC: 36
18:07:51.270 > positionC: 37
18:07:51.276 > positionC: 38
18:07:51.281 > positionC: 39
18:07:51.286 > positionC: 40
18:07:51.291 > positionC: 41
18:07:51.297 > positionC: 42
18:07:51.302 > positionC: 43
18:07:51.308 > positionC: 44
18:07:51.313 > positionC: 45
18:07:51.318 > positionC: 46
18:07:51.323 > positionC: 47
18:07:51.329 > positionC: 48
18:07:51.334 > positionC: 49
18:07:51.339 > positionC: 50
18:07:51.344 > positionC: 51
18:07:51.350 > positionC: 52
18:07:51.355 > positionC: 53
