19:03:08.329 > 16 channel Servo test!
19:04:31.012 > Angle: 160 pulse: 525
19:04:31.513 > Angle: 180 pulse: 575
19:04:33.014 > Angle: 0 pulse: 125
19:04:33.515 > Angle: 20 pulse: 175
19:04:34.016 > Angle: 40 pulse: 225
19:04:34.517 > Angle: 60 pulse: 275
19:04:35.018 > Angle: 80 pulse: 325
19:04:35.520 > Angle: 100 pulse: 375
19:04:36.021 > Angle: 120 pulse: 425
19:04:36.522 > Angle: 140 pulse: 475
19:04:37.023 > Angle: 160 pulse: 525
19:04:37.524 > Angle: 180 pulse: 575
19:04:39.025 > Angle: 0 pulse: 125
19:04:39.526 > Angle: 20 pulse: 175
19:04:40.028 > Angle: 40 pulse: 225
19:04:40.529 > Angle: 60 pulse: 275
19:04:41.030 > Angle: 80 pulse: 325
19:04:41.531 > Angle: 100 pulse: 375
19:04:42.032 > Angle: 120 pulse: 425
19:04:42.533 > Angle: 140 pulse: 475
19:04:43.035 > Angle: 160 pulse: 525
19:04:43.536 > Angle: 180 pulse: 575
19:04:45.037 > Angle: 0 pulse: 125
19:04:45.538 > Angle: 20 pulse: 175
19:04:46.039 > Angle: 40 pulse: 225
19:04:46.540 > Angle: 60 pulse: 275
19:04:47.041 > Angle: 80 pulse: 325
19:04:47.542 > Angle: 100 pulse: 375
19:04:48.044 > Angle: 120 pulse: 425
19:04:48.545 > Angle: 140 pulse: 475
19:04:49.046 > Angle: 160 pulse: 525
19:04:49.547 > Angle: 180 pulse: 575
19:04:51.048 > Angle: 0 pulse: 125
19:04:51.549 > Angle: 20 pulse: 175
19:04:52.050 > Angle: 40 pulse: 225
19:04:52.551 > Angle: 60 pulse: 275
19:04:53.053 > Angle: 80 pulse: 325
19:04:53.554 > Angle: 100 pulse: 375
19:04:54.055 > Angle: 120 pulse: 425
19:04:54.556 > Angle: 140 pulse: 475
19:04:55.057 > Angle: 160 pulse: 525
19:04:55.558 > Angle: 180 pulse: 575
19:04:57.060 > Angle: 0 pulse: 125
19:04:57.561 > Angle: 20 pulse: 175
19:04:58.062 > Angle: 40 pulse: 225
19:04:58.563 > Angle: 60 pulse: 275
19:04:59.064 > Angle: 80 pulse: 325
19:04:59.565 > Angle: 100 pulse: 375
19:05:00.066 > Angle: 120 pulse: 425
19:05:00.567 > Angle: 140 pulse: 475
19:05:01.069 > Angle: 160 pulse: 525
19:05:01.570 > Angle: 180 pulse: 575
19:05:03.071 > Angle: 0 pulse: 125
19:05:03.572 > Angle: 20 pulse: 175
19:05:04.073 > Angle: 40 pulse: 225
19:05:04.574 > Angle: 60 pulse: 275
19:05:05.075 > Angle: 80 pulse: 325
19:05:05.577 > Angle: 100 pulse: 375
19:05:06.078 > Angle: 120 pulse: 425
19:05:06.579 > Angle: 140 pulse: 475
19:05:07.080 > Angle: 160 pulse: 525
19:05:07.581 > Angle: 180 pulse: 575
