15:08:12.457 > ---------------------------------------1
15:08:12.462 > positionC: 130
15:08:12.468 > positionC: 131
15:08:12.473 > positionC: 132
15:08:12.478 > positionC: 133
15:08:12.484 > positionC: 134
15:08:12.489 > positionC: 135
15:08:12.494 > positionC: 136
15:08:12.500 > positionC: 137
15:08:12.505 > positionC: 138
15:08:12.510 > positionC: 139
15:08:12.515 > positionC: 140
15:08:12.521 > positionC: 141
15:08:12.526 > positionC: 142
15:08:12.531 > positionC: 143
15:08:12.537 > positionC: 144
15:08:12.542 > positionC: 145
15:08:12.547 > positionC: 146
15:08:12.553 > positionC: 147
15:08:12.558 > positionC: 148
15:08:12.563 > positionC: 149
15:08:12.569 > positionC: 150
15:08:12.574 > positionC: 151
15:08:12.579 > positionC: 152
15:08:12.585 > positionC: 153
15:08:12.590 > positionC: 154
15:08:12.595 > positionC: 155
15:08:12.600 > positionC: 156
15:08:12.606 > positionC: 157
15:08:12.611 > positionC: 158
15:08:12.616 > positionC: 159
15:08:12.622 > positionC: 160
15:08:12.627 > positionC: 161
15:08:12.632 > positionC: 162
15:08:12.638 > positionC: 163
15:08:12.643 > positionC: 164
15:08:12.648 > positionC: 165
15:08:12.654 > positionC: 166
15:08:12.659 > positionC: 167
15:08:12.664 > positionC: 168
15:08:12.670 > positionC: 169
15:08:12.675 > positionC: 170
15:08:12.680 > positionC: 171
15:08:12.685 > positionC: 172
15:08:12.691 > positionC: 173
15:08:12.696 > positionC: 174
15:08:12.701 > positionC: 175
15:08:12.707 > positionC: 176
15:08:12.712 > positionC: 177
15:08:12.718 > positionC: 178
15:08:12.723 > positionC: 179
15:08:12.728 > positionC: 180
15:08:14.728 > ----------------------------------------1
15:08:14.734 > positionC: 180
15:08:14.739 > positionC: 179
15:08:14.744 > positionC: 178
15:08:14.749 > positionC: 177
15:08:14.755 > positionC: 176
15:08:14.760 > positionC: 175
15:08:14.765 > positionC: 174
15:08:14.771 > positionC: 173
15:08:14.776 > positionC: 172
15:08:14.781 > positionC: 171
15:08:14.787 > positionC: 170
15:08:14.792 > positionC: 169
15:08:14.797 > positionC: 168
15:08:14.803 > positionC: 167
15:08:14.808 > positionC: 166
15:08:14.813 > positionC: 165
15:08:14.819 > positionC: 164
15:08:14.824 > positionC: 163
15:08:14.829 > positionC: 162
15:08:14.834 > positionC: 161
15:08:14.840 > positionC: 160
15:08:14.845 > positionC: 159
15:08:14.850 > positionC: 158
15:08:14.856 > positionC: 157
15:08:14.861 > positionC: 156
15:08:14.866 > positionC: 155
15:08:14.872 > positionC: 154
15:08:14.877 > positionC: 153
15:08:14.882 > positionC: 152
15:08:14.888 > positionC: 151
15:08:14.893 > positionC: 150
15:08:14.898 > positionC: 149
15:08:14.904 > positionC: 148
15:08:14.909 > positionC: 147
15:08:14.914 > positionC: 146
15:08:14.919 > positionC: 145
15:08:14.925 > positionC: 144
15:08:14.930 > positionC: 143
15:08:14.935 > positionC: 142
15:08:14.941 > positionC: 141
15:08:14.946 > positionC: 140
15:08:14.951 > positionC: 139
15:08:14.957 > positionC: 138
15:08:14.962 > positionC: 137
15:08:14.967 > positionC: 136
15:08:14.973 > positionC: 135
15:08:14.978 > positionC: 134
15:08:14.983 > positionC: 133
15:08:14.989 > positionC: 132
15:08:14.994 > positionC: 131
15:08:14.999 > positionC: 130
15:08:15.004 > positionC: 129
15:08:15.010 > positionC: 128
15:08:15.015 > positionC: 127
15:08:15.020 > positionC: 126
15:08:15.026 > positionC: 125
