20:39:01.461 > 16 channel Servo test!
20:39:01.985 > Angle: 0 pulse: 125
20:39:02.486 > Angle: 20 pulse: 175
20:39:02.988 > Angle: 40 pulse: 225
20:39:03.489 > Angle: 60 pulse: 275
20:39:03.990 > Angle: 80 pulse: 325
20:39:04.491 > Angle: 100 pulse: 375
20:39:04.993 > Angle: 120 pulse: 425
20:39:05.494 > Angle: 140 pulse: 475
20:39:05.995 > Angle: 160 pulse: 525
20:39:06.496 > Angle: 180 pulse: 575
20:39:07.997 > Angle: 0 pulse: 125
20:39:08.498 > Angle: 20 pulse: 175
20:39:08.999 > Angle: 40 pulse: 225
20:39:09.500 > Angle: 60 pulse: 275
20:39:10.001 > Angle: 80 pulse: 325
20:39:10.503 > Angle: 100 pulse: 375
20:39:11.004 > Angle: 120 pulse: 425
20:39:11.505 > Angle: 140 pulse: 475
20:39:12.006 > Angle: 160 pulse: 525
20:39:12.507 > Angle: 180 pulse: 575
20:39:14.008 > Angle: 0 pulse: 125
20:39:14.510 > Angle: 20 pulse: 175
20:39:15.011 > Angle: 40 pulse: 225
20:39:15.512 > Angle: 60 pulse: 275
20:39:16.013 > Angle: 80 pulse: 325
20:39:16.514 > Angle: 100 pulse: 375
20:39:17.016 > Angle: 120 pulse: 425
20:39:17.517 > Angle: 140 pulse: 475
20:39:18.018 > Angle: 160 pulse: 525
20:39:18.519 > Angle: 180 pulse: 575
20:39:20.020 > Angle: 0 pulse: 125
20:39:20.521 > Angle: 20 pulse: 175
20:39:21.022 > Angle: 40 pulse: 225
20:39:21.523 > Angle: 60 pulse: 275
20:39:22.024 > Angle: 80 pulse: 325
20:39:22.527 > Angle: 100 pulse: 375
20:39:23.027 > Angle: 120 pulse: 425
20:39:23.528 > Angle: 140 pulse: 475
20:39:24.029 > Angle: 160 pulse: 525
20:39:24.530 > Angle: 180 pulse: 575
20:39:26.031 > Angle: 0 pulse: 125
20:39:26.532 > Angle: 20 pulse: 175
20:39:27.034 > Angle: 40 pulse: 225
20:39:27.535 > Angle: 60 pulse: 275
20:39:28.036 > Angle: 80 pulse: 325
20:39:28.537 > Angle: 100 pulse: 375
20:39:29.038 > Angle: 120 pulse: 425
20:39:29.539 > Angle: 140 pulse: 475
20:39:30.041 > Angle: 160 pulse: 525
20:39:30.542 > Angle: 180 pulse: 575
20:39:32.043 > Angle: 0 pulse: 125
20:39:32.544 > Angle: 20 pulse: 175
20:39:33.045 > Angle: 40 pulse: 225
20:39:33.546 > Angle: 60 pulse: 275
20:39:34.047 > Angle: 80 pulse: 325
20:39:34.548 > Angle: 100 pulse: 375
20:39:35.050 > Angle: 120 pulse: 425
20:39:35.551 > Angle: 140 pulse: 475
20:39:36.052 > Angle: 160 pulse: 525
20:39:36.553 > Angle: 180 pulse: 575
20:39:38.054 > Angle: 0 pulse: 125
20:39:38.555 > Angle: 20 pulse: 175
20:39:39.056 > Angle: 40 pulse: 225
20:39:39.557 > Angle: 60 pulse: 275
20:39:40.059 > Angle: 80 pulse: 325
20:39:40.560 > Angle: 100 pulse: 375
20:39:41.061 > Angle: 120 pulse: 425
20:39:41.562 > Angle: 140 pulse: 475
20:39:42.064 > Angle: 160 pulse: 525
20:39:42.565 > Angle: 180 pulse: 575
20:39:44.066 > Angle: 0 pulse: 125
20:39:44.567 > Angle: 20 pulse: 175
20:39:45.068 > Angle: 40 pulse: 225
20:39:45.569 > Angle: 60 pulse: 275
20:39:46.070 > Angle: 80 pulse: 325
20:39:46.571 > Angle: 100 pulse: 375
20:39:47.073 > Angle: 120 pulse: 425
20:39:47.574 > Angle: 140 pulse: 475
20:39:48.075 > Angle: 160 pulse: 525
20:39:48.576 > Angle: 180 pulse: 575
20:39:50.077 > Angle: 0 pulse: 125
20:39:50.578 > Angle: 20 pulse: 175
20:39:51.079 > Angle: 40 pulse: 225
20:39:51.581 > Angle: 60 pulse: 275
20:39:52.082 > Angle: 80 pulse: 325
20:39:52.583 > Angle: 100 pulse: 375
20:39:53.084 > Angle: 120 pulse: 425
20:39:53.585 > Angle: 140 pulse: 475
20:39:54.086 > Angle: 160 pulse: 525
20:39:54.587 > Angle: 180 pulse: 575
20:39:56.089 > Angle: 0 pulse: 125
20:39:56.590 > Angle: 20 pulse: 175
20:39:57.091 > Angle: 40 pulse: 225
20:39:57.592 > Angle: 60 pulse: 275
20:39:58.093 > Angle: 80 pulse: 325
20:39:58.594 > Angle: 100 pulse: 375
20:39:59.095 > Angle: 120 pulse: 425
20:39:59.597 > Angle: 140 pulse: 475
20:40:00.098 > Angle: 160 pulse: 525
20:40:00.599 > Angle: 180 pulse: 575
20:40:02.100 > Angle: 0 pulse: 125
20:40:02.601 > Angle: 20 pulse: 175
20:40:03.102 > Angle: 40 pulse: 225
20:40:03.603 > Angle: 60 pulse: 275
20:40:04.105 > Angle: 80 pulse: 325
20:40:04.606 > Angle: 100 pulse: 375
20:40:05.107 > Angle: 120 pulse: 425
20:40:05.608 > Angle: 140 pulse: 475
20:40:06.109 > Angle: 160 pulse: 525
20:40:06.610 > Angle: 180 pulse: 575
20:40:08.112 > Angle: 0 pulse: 125
20:40:08.612 > Angle: 20 pulse: 175
20:40:09.114 > Angle: 40 pulse: 225
20:40:09.615 > Angle: 60 pulse: 275
