18:15:16.697 > ok---------------------------------------:1
18:15:18.704 > positionC: 0
18:15:18.709 > positionC: 1
18:15:18.714 > positionC: 2
18:15:18.719 > positionC: 3
18:15:18.725 > positionC: 4
18:15:18.730 > positionC: 5
18:15:18.735 > positionC: 6
18:15:18.740 > positionC: 7
18:15:18.746 > positionC: 8
18:15:18.751 > positionC: 9
18:15:18.756 > positionC: 10
18:15:18.761 > positionC: 11
18:15:18.767 > positionC: 12
18:15:18.772 > positionC: 13
18:15:18.777 > positionC: 14
18:15:18.782 > positionC: 15
18:15:18.788 > positionC: 16
18:15:18.793 > positionC: 17
18:15:18.799 > positionC: 18
18:15:18.804 > positionC: 19
18:15:18.809 > positionC: 20
18:15:28.748 > ok---------------------------------------:1
18:15:30.754 > positionC: 0
18:15:30.759 > positionC: 1
18:15:30.764 > positionC: 2
18:15:30.770 > positionC: 3
18:15:30.775 > positionC: 4
18:15:30.780 > positionC: 5
18:15:30.786 > positionC: 6
18:15:30.791 > positionC: 7
18:15:30.796 > positionC: 8
18:15:30.801 > positionC: 9
18:15:30.807 > positionC: 10
18:15:30.812 > positionC: 11
18:15:30.817 > positionC: 12
18:15:30.822 > positionC: 13
18:15:30.828 > positionC: 14
18:15:30.833 > positionC: 15
18:15:30.842 > positionC: 16
18:15:30.844 > positionC: 17
18:15:30.849 > positionC: 18
18:15:30.854 > positionC: 19
18:15:30.860 > positionC: 20
