19:10:43.608 > 16 channel Servo test!
19:10:44.132 > Angle: 0 pulse: 125
19:10:44.633 > Angle: 20 pulse: 175
19:10:45.134 > Angle: 40 pulse: 225
19:10:45.636 > Angle: 60 pulse: 275
19:10:46.137 > Angle: 80 pulse: 325
19:10:46.638 > Angle: 100 pulse: 375
19:10:47.139 > Angle: 120 pulse: 425
19:10:47.640 > Angle: 140 pulse: 475
19:10:48.142 > Angle: 160 pulse: 525
19:10:48.643 > Angle: 180 pulse: 575
19:10:50.144 > Angle: 0 pulse: 125
19:10:50.645 > Angle: 20 pulse: 175
19:10:51.146 > Angle: 40 pulse: 225
19:10:51.647 > Angle: 60 pulse: 275
19:10:52.148 > Angle: 80 pulse: 325
19:10:52.650 > Angle: 100 pulse: 375
19:10:53.151 > Angle: 120 pulse: 425
19:10:53.652 > Angle: 140 pulse: 475
19:10:54.153 > Angle: 160 pulse: 525
19:10:54.654 > Angle: 180 pulse: 575
19:10:56.155 > Angle: 0 pulse: 125
19:10:56.656 > Angle: 20 pulse: 175
19:10:57.158 > Angle: 40 pulse: 225
19:10:57.659 > Angle: 60 pulse: 275
19:10:58.160 > Angle: 80 pulse: 325
19:10:58.661 > Angle: 100 pulse: 375
19:10:59.162 > Angle: 120 pulse: 425
19:10:59.663 > Angle: 140 pulse: 475
19:11:00.164 > Angle: 160 pulse: 525
19:11:00.666 > Angle: 180 pulse: 575
19:11:02.167 > Angle: 0 pulse: 125
19:11:02.668 > Angle: 20 pulse: 175
19:11:03.169 > Angle: 40 pulse: 225
19:11:03.670 > Angle: 60 pulse: 275
19:11:04.171 > Angle: 80 pulse: 325
19:11:04.672 > Angle: 100 pulse: 375
19:11:05.174 > Angle: 120 pulse: 425
19:11:05.675 > Angle: 140 pulse: 475
19:11:06.176 > Angle: 160 pulse: 525
19:11:06.677 > Angle: 180 pulse: 575
19:11:08.178 > Angle: 0 pulse: 125
19:11:08.679 > Angle: 20 pulse: 175
19:11:09.180 > Angle: 40 pulse: 225
19:11:09.682 > Angle: 60 pulse: 275
19:11:10.183 > Angle: 80 pulse: 325
19:11:10.684 > Angle: 100 pulse: 375
19:11:11.185 > Angle: 120 pulse: 425
19:11:11.686 > Angle: 140 pulse: 475
19:11:12.187 > Angle: 160 pulse: 525
19:11:12.688 > Angle: 180 pulse: 575
19:11:14.190 > Angle: 0 pulse: 125
19:11:14.691 > Angle: 20 pulse: 175
19:11:15.192 > Angle: 40 pulse: 225
19:11:15.693 > Angle: 60 pulse: 275
19:11:16.194 > Angle: 80 pulse: 325
19:11:16.695 > Angle: 100 pulse: 375
19:11:17.196 > Angle: 120 pulse: 425
19:11:17.698 > Angle: 140 pulse: 475
19:11:18.199 > Angle: 160 pulse: 525
19:11:18.700 > Angle: 180 pulse: 575
19:11:20.201 > Angle: 0 pulse: 125
19:11:20.702 > Angle: 20 pulse: 175
19:11:21.203 > Angle: 40 pulse: 225
19:11:21.705 > Angle: 60 pulse: 275
19:11:22.206 > Angle: 80 pulse: 325
19:11:22.707 > Angle: 100 pulse: 375
19:11:23.208 > Angle: 120 pulse: 425
19:11:23.709 > Angle: 140 pulse: 475
19:11:24.210 > Angle: 160 pulse: 525
19:11:24.711 > Angle: 180 pulse: 575
19:11:26.213 > Angle: 0 pulse: 125
19:11:26.714 > Angle: 20 pulse: 175
19:11:27.215 > Angle: 40 pulse: 225
19:11:27.716 > Angle: 60 pulse: 275
19:11:28.217 > Angle: 80 pulse: 325
19:11:28.718 > Angle: 100 pulse: 375
19:11:29.219 > Angle: 120 pulse: 425
19:11:29.721 > Angle: 140 pulse: 475
19:11:30.222 > Angle: 160 pulse: 525
19:11:30.723 > Angle: 180 pulse: 575
19:11:32.224 > Angle: 0 pulse: 125
19:11:32.725 > Angle: 20 pulse: 175
19:11:33.226 > Angle: 40 pulse: 225
19:11:33.727 > Angle: 60 pulse: 275
19:11:34.228 > Angle: 80 pulse: 325
19:11:34.731 > Angle: 100 pulse: 375
19:11:35.231 > Angle: 120 pulse: 425
19:11:35.732 > Angle: 140 pulse: 475
19:11:36.233 > Angle: 160 pulse: 525
19:11:36.735 > Angle: 180 pulse: 575
19:11:38.236 > Angle: 0 pulse: 125
19:11:38.737 > Angle: 20 pulse: 175
19:11:39.237 > Angle: 40 pulse: 225
19:11:39.739 > Angle: 60 pulse: 275
19:11:40.240 > Angle: 80 pulse: 325
19:11:40.741 > Angle: 100 pulse: 375
19:11:41.242 > Angle: 120 pulse: 425
19:11:41.744 > Angle: 140 pulse: 475
19:11:42.245 > Angle: 160 pulse: 525
19:11:42.746 > Angle: 180 pulse: 575
19:11:44.247 > Angle: 0 pulse: 125
19:11:44.748 > Angle: 20 pulse: 175
19:11:45.249 > Angle: 40 pulse: 225
19:11:45.750 > Angle: 60 pulse: 275
19:11:46.251 > Angle: 80 pulse: 325
19:11:46.753 > Angle: 100 pulse: 375
19:11:47.254 > Angle: 120 pulse: 425
19:11:47.755 > Angle: 140 pulse: 475
19:11:48.256 > Angle: 160 pulse: 525
19:11:48.757 > Angle: 180 pulse: 575
19:11:50.258 > Angle: 0 pulse: 125
19:11:50.759 > Angle: 20 pulse: 175
19:11:51.261 > Angle: 40 pulse: 225
19:11:51.762 > Angle: 60 pulse: 275
19:11:52.263 > Angle: 80 pulse: 325
19:11:52.764 > Angle: 100 pulse: 375
19:11:53.265 > Angle: 120 pulse: 425
19:11:53.766 > Angle: 140 pulse: 475
19:11:54.268 > Angle: 160 pulse: 525
19:11:54.769 > Angle: 180 pulse: 575
19:11:56.270 > Angle: 0 pulse: 125
19:11:56.771 > Angle: 20 pulse: 175
19:11:57.272 > Angle: 40 pulse: 225
19:11:57.773 > Angle: 60 pulse: 275
19:11:58.274 > Angle: 80 pulse: 325
19:11:58.775 > Angle: 100 pulse: 375
19:11:59.277 > Angle: 120 pulse: 425
19:11:59.778 > Angle: 140 pulse: 475
19:12:00.279 > Angle: 160 pulse: 525
19:12:00.780 > Angle: 180 pulse: 575
19:12:02.281 > Angle: 0 pulse: 125
19:12:02.783 > Angle: 20 pulse: 175
19:12:03.284 > Angle: 40 pulse: 225
19:12:03.785 > Angle: 60 pulse: 275
19:12:04.286 > Angle: 80 pulse: 325
19:12:04.787 > Angle: 100 pulse: 375
19:12:05.288 > Angle: 120 pulse: 425
19:12:05.789 > Angle: 140 pulse: 475
19:12:06.290 > Angle: 160 pulse: 525
19:12:06.791 > Angle: 180 pulse: 575
19:12:08.293 > Angle: 0 pulse: 125
19:12:08.794 > Angle: 20 pulse: 175
19:12:09.295 > Angle: 40 pulse: 225
19:12:09.796 > Angle: 60 pulse: 275
19:12:10.297 > Angle: 80 pulse: 325
19:12:10.798 > Angle: 100 pulse: 375
19:12:11.300 > Angle: 120 pulse: 425
19:12:11.801 > Angle: 140 pulse: 475
19:12:12.302 > Angle: 160 pulse: 525
19:12:12.803 > Angle: 180 pulse: 575
19:12:14.304 > Angle: 0 pulse: 125
19:12:14.805 > Angle: 20 pulse: 175
19:12:15.306 > Angle: 40 pulse: 225
19:12:15.807 > Angle: 60 pulse: 275
19:12:16.309 > Angle: 80 pulse: 325
19:12:16.810 > Angle: 100 pulse: 375
19:12:17.311 > Angle: 120 pulse: 425
19:12:17.812 > Angle: 140 pulse: 475
