18:22:52.451 > ok---------------------------------------:1
18:22:54.458 > positionC: 0
18:22:54.463 > positionC: 1
18:22:54.468 > positionC: 2
18:22:54.473 > positionC: 3
18:22:54.478 > positionC: 4
18:22:54.484 > positionC: 5
18:22:54.489 > positionC: 6
18:22:54.494 > positionC: 7
18:22:54.499 > positionC: 8
18:22:54.504 > positionC: 9
18:22:54.510 > positionC: 10
18:22:54.515 > positionC: 11
18:22:54.521 > positionC: 12
18:22:54.526 > positionC: 13
18:22:54.531 > positionC: 14
18:22:54.537 > positionC: 15
18:22:54.542 > positionC: 16
18:22:54.547 > positionC: 17
18:22:54.552 > positionC: 18
18:22:54.558 > positionC: 19
18:22:54.563 > positionC: 20
18:22:58.961 > ok---------------------------------------:1
18:23:00.967 > positionC: 0
18:23:00.973 > positionC: 1
18:23:00.978 > positionC: 2
18:23:00.983 > positionC: 3
18:23:00.989 > positionC: 4
18:23:00.994 > positionC: 5
18:23:00.999 > positionC: 6
18:23:01.004 > positionC: 7
18:23:01.010 > positionC: 8
18:23:01.015 > positionC: 9
18:23:01.020 > positionC: 10
18:23:01.025 > positionC: 11
18:23:01.031 > positionC: 12
18:23:01.036 > positionC: 13
18:23:01.041 > positionC: 14
18:23:01.046 > positionC: 15
18:23:01.052 > positionC: 16
18:23:01.057 > positionC: 17
18:23:01.062 > positionC: 18
18:23:01.068 > positionC: 19
18:23:01.073 > positionC: 20
