18:43:37.087 > ok---------------------------------------:1
18:43:39.094 > positionC: 0
18:43:39.099 > positionC: 1
18:43:39.104 > positionC: 2
18:43:39.109 > positionC: 3
18:43:39.114 > positionC: 4
18:43:39.120 > positionC: 5
18:43:39.125 > positionC: 6
18:43:39.130 > positionC: 7
18:43:39.135 > positionC: 8
18:43:39.141 > positionC: 9
18:43:39.146 > positionC: 10
18:43:39.151 > positionC: 11
18:43:39.157 > positionC: 12
18:43:39.162 > positionC: 13
18:43:39.167 > positionC: 14
18:43:39.173 > positionC: 15
18:43:39.178 > positionC: 16
18:43:39.183 > positionC: 17
18:43:39.188 > positionC: 18
18:43:39.194 > positionC: 19
18:43:39.199 > positionC: 20
18:43:39.204 > positionC: 21
18:43:39.209 > positionC: 22
18:43:39.215 > positionC: 23
18:43:39.220 > positionC: 24
18:43:39.225 > positionC: 25
18:43:39.231 > positionC: 26
18:43:39.236 > positionC: 27
18:43:39.241 > positionC: 28
18:43:39.246 > positionC: 29
18:43:39.252 > positionC: 30
18:43:39.257 > positionC: 31
18:43:39.262 > positionC: 32
18:43:39.267 > positionC: 33
18:43:39.273 > positionC: 34
18:43:39.278 > positionC: 35
18:43:39.283 > positionC: 36
18:43:39.289 > positionC: 37
18:43:39.294 > positionC: 38
18:43:39.299 > positionC: 39
18:43:39.305 > positionC: 40
18:43:39.310 > positionC: 41
18:43:39.315 > positionC: 42
18:43:39.320 > positionC: 43
18:43:39.326 > positionC: 44
18:43:39.331 > positionC: 45
18:43:39.336 > positionC: 46
18:43:39.342 > positionC: 47
18:43:39.347 > positionC: 48
18:43:39.352 > positionC: 49
18:43:39.358 > positionC: 50
18:43:41.358 > ---------------------------------------:-1
18:43:41.364 > positionC: 50
18:43:41.369 > positionC: 49
18:43:41.374 > positionC: 48
18:43:41.379 > positionC: 47
18:43:41.384 > positionC: 46
18:43:41.390 > positionC: 45
18:43:41.395 > positionC: 44
18:43:41.400 > positionC: 43
18:43:41.406 > positionC: 42
18:43:41.411 > positionC: 41
18:43:41.416 > positionC: 40
18:43:41.421 > positionC: 39
18:43:41.427 > positionC: 38
18:43:41.432 > positionC: 37
18:43:41.437 > positionC: 36
18:43:41.442 > positionC: 35
18:43:41.448 > positionC: 34
18:43:41.453 > positionC: 33
18:43:41.458 > positionC: 32
18:43:41.464 > positionC: 31
18:43:41.469 > positionC: 30
18:43:41.474 > positionC: 29
18:43:41.479 > positionC: 28
18:43:41.485 > positionC: 27
18:43:41.490 > positionC: 26
18:43:41.495 > positionC: 25
18:43:41.501 > positionC: 24
18:43:41.506 > positionC: 23
18:43:41.511 > positionC: 22
18:43:41.517 > positionC: 21
18:43:41.522 > positionC: 20
18:43:41.527 > positionC: 19
18:43:41.532 > positionC: 18
18:43:41.538 > positionC: 17
18:43:41.543 > positionC: 16
18:43:41.548 > positionC: 15
18:43:41.554 > positionC: 14
18:43:41.559 > positionC: 13
18:43:41.564 > positionC: 12
18:43:41.569 > positionC: 11
18:43:41.575 > positionC: 10
18:43:41.580 > positionC: 9
18:43:41.585 > positionC: 8
18:43:41.590 > positionC: 7
18:43:41.596 > positionC: 6
18:43:41.601 > positionC: 5
18:43:41.606 > positionC: 4
18:43:41.611 > positionC: 3
18:43:41.616 > positionC: 2
18:43:41.622 > positionC: 1
18:43:41.627 > positionC: 0
18:43:41.633 > positionC: 255
18:43:41.638 > positionC: 254
