18:41:44.756 > 16 channel Servo test!
18:41:45.281 > Angle: 0 pulse: 125
18:41:45.782 > Angle: 20 pulse: 175
18:41:46.283 > Angle: 40 pulse: 225
18:41:46.784 > Angle: 60 pulse: 275
18:41:47.285 > Angle: 80 pulse: 325
18:41:47.787 > Angle: 100 pulse: 375
18:41:48.288 > Angle: 120 pulse: 425
18:41:48.789 > Angle: 140 pulse: 475
18:41:49.290 > Angle: 160 pulse: 525
18:41:49.791 > Angle: 180 pulse: 575
18:41:51.292 > Angle: 0 pulse: 125
18:41:51.793 > Angle: 20 pulse: 175
18:41:52.294 > Angle: 40 pulse: 225
18:41:52.796 > Angle: 60 pulse: 275
18:41:53.297 > Angle: 80 pulse: 325
18:41:53.798 > Angle: 100 pulse: 375
18:41:54.299 > Angle: 120 pulse: 425
18:41:54.800 > Angle: 140 pulse: 475
18:41:55.302 > Angle: 160 pulse: 525
18:41:55.803 > Angle: 180 pulse: 575
18:41:57.304 > Angle: 0 pulse: 125
18:41:57.805 > Angle: 20 pulse: 175
18:41:58.306 > Angle: 40 pulse: 225
18:41:58.807 > Angle: 60 pulse: 275
18:41:59.308 > Angle: 80 pulse: 325
18:41:59.810 > Angle: 100 pulse: 375
18:42:00.311 > Angle: 120 pulse: 425
18:42:00.812 > Angle: 140 pulse: 475
18:42:01.313 > Angle: 160 pulse: 525
18:42:01.814 > Angle: 180 pulse: 575
18:42:03.315 > Angle: 0 pulse: 125
18:42:03.816 > Angle: 20 pulse: 175
18:42:04.318 > Angle: 40 pulse: 225
18:42:04.819 > Angle: 60 pulse: 275
18:42:05.320 > Angle: 80 pulse: 325
18:42:05.821 > Angle: 100 pulse: 375
18:42:06.322 > Angle: 120 pulse: 425
18:42:06.824 > Angle: 140 pulse: 475
18:42:07.325 > Angle: 160 pulse: 525
18:42:07.826 > Angle: 180 pulse: 575
18:42:09.327 > Angle: 0 pulse: 125
18:42:09.828 > Angle: 20 pulse: 175
18:42:10.329 > Angle: 40 pulse: 225
18:42:10.830 > Angle: 60 pulse: 275
18:42:11.331 > Angle: 80 pulse: 325
18:42:11.833 > Angle: 100 pulse: 375
