19:29:23.173 > ok---------------------------------------:1
19:29:27.180 > positionC: 0
19:29:27.184 > positionC: 1
19:29:27.190 > positionC: 2
19:29:27.195 > positionC: 3
19:29:27.200 > positionC: 4
19:29:27.206 > positionC: 5
19:29:27.211 > positionC: 6
19:29:27.216 > positionC: 7
19:29:27.221 > positionC: 8
19:29:27.227 > positionC: 9
19:29:27.232 > positionC: 10
19:29:27.237 > positionC: 11
19:29:27.242 > positionC: 12
19:29:27.248 > positionC: 13
19:29:27.253 > positionC: 14
19:29:27.258 > positionC: 15
19:29:27.263 > positionC: 16
19:29:27.269 > positionC: 17
19:29:27.274 > positionC: 18
19:29:27.280 > positionC: 19
19:29:27.285 > positionC: 20
19:29:27.290 > positionC: 21
19:29:27.295 > positionC: 22
19:29:27.301 > positionC: 23
19:29:27.306 > positionC: 24
19:29:27.311 > positionC: 25
19:29:27.316 > positionC: 26
19:29:27.322 > positionC: 27
19:29:27.327 > positionC: 28
19:29:27.332 > positionC: 29
19:29:27.338 > positionC: 30
19:29:27.343 > positionC: 31
19:29:27.348 > positionC: 32
19:29:27.353 > positionC: 33
19:29:27.359 > positionC: 34
19:29:27.364 > positionC: 35
19:29:27.369 > positionC: 36
19:29:27.374 > positionC: 37
19:29:27.380 > positionC: 38
19:29:27.385 > positionC: 39
19:29:27.391 > positionC: 40
19:29:27.396 > positionC: 41
19:29:27.401 > positionC: 42
19:29:27.406 > positionC: 43
19:29:27.412 > positionC: 44
19:29:27.417 > positionC: 45
19:29:27.422 > positionC: 46
19:29:27.427 > positionC: 47
19:29:27.433 > positionC: 48
19:29:27.438 > positionC: 49
19:29:27.443 > positionC: 50
19:29:27.448 > positionC: 51
19:29:27.454 > positionC: 52
19:29:27.459 > positionC: 53
19:29:27.465 > positionC: 54
19:29:27.470 > positionC: 55
19:29:27.475 > positionC: 56
19:29:27.480 > positionC: 57
19:29:27.486 > positionC: 58
19:29:27.491 > positionC: 59
19:29:27.496 > positionC: 60
19:29:27.501 > positionC: 61
19:29:27.507 > positionC: 62
19:29:27.512 > positionC: 63
19:29:27.517 > positionC: 64
19:29:27.523 > positionC: 65
19:29:27.528 > positionC: 66
19:29:27.533 > positionC: 67
19:29:27.538 > positionC: 68
19:29:27.544 > positionC: 69
19:29:27.549 > positionC: 70
19:29:27.554 > positionC: 71
19:29:27.559 > positionC: 72
19:29:27.565 > positionC: 73
19:29:27.570 > positionC: 74
19:29:27.576 > positionC: 75
19:29:27.581 > positionC: 76
19:29:27.586 > positionC: 77
19:29:27.591 > positionC: 78
19:29:27.597 > positionC: 79
19:29:27.602 > positionC: 80
19:29:27.607 > positionC: 81
19:29:27.612 > positionC: 82
19:29:28.374 > ok---------------------------------------:1
19:29:32.381 > positionC: 0
